pk,jsondata,language_pk,source_pk,version
1,,2361,3733,1
2,,30,4091,1
3,,1520,408,1
4,,529,3108,1
5,,1458,4050,1
6,,2659,7167,1
7,,1610,3168,1
8,,2341,2430,1
9,,2521,2000,1
10,,1018,5673,1
11,,2521,3916,1
12,,317,5205,1
13,,1171,4306,1
14,,1939,3732,1
15,,2416,2725,1
16,,2391,3624,1
17,,1444,3024,1
18,,2097,4050,1
19,,946,3117,1
20,,2474,863,1
21,,2238,3960,1
22,,4,1247,1
23,,1084,1766,1
24,,1251,720,1
25,,2330,2353,1
26,,2345,1625,1
27,,740,3285,1
28,,1977,2513,1
29,,1550,5667,1
30,,1823,3781,1
31,,880,1665,1
32,,2361,603,1
33,,2420,1350,1
34,,1630,5673,1
35,,2275,4558,1
36,,2292,2962,1
37,,1183,3626,1
38,,435,4639,1
39,,961,1091,1
40,,682,1512,1
41,,2231,5673,1
42,,2452,2442,1
43,,2255,2900,1
44,,1299,3629,1
45,,2312,647,1
46,,2360,584,1
47,,2549,1661,1
48,,2355,816,1
49,,2203,848,1
50,,1348,3003,1
51,,1062,5486,1
52,,2428,4050,1
53,,1487,5370,1
54,,1610,6852,1
55,,2283,810,1
56,,2474,5617,1
57,,2185,2364,1
58,,2473,4213,1
59,,1991,2541,1
60,,1065,4050,1
61,,1415,58,1
62,,2322,2074,1
63,,2400,4050,1
64,,644,1428,1
65,,62,4015,1
66,,2529,3005,1
67,,2006,2386,1
68,,2464,4367,1
69,,977,5535,1
70,,1709,5050,1
71,,2097,3928,1
72,,2528,3935,1
73,,2212,4050,1
74,,2351,1683,1
75,,1830,5544,1
76,,2003,2330,1
77,,2235,1507,1
78,,2676,5482,1
79,,1222,5570,1
80,,135,971,1
81,,2284,6423,1
82,,2151,3933,1
83,,1434,2117,1
84,,2069,632,1
85,,2478,550,1
86,,443,5298,1
87,,2417,1037,1
88,,2545,5673,1
89,,1525,2537,1
90,,2012,263,1
91,,1417,3495,1
92,,2545,1295,1
93,,2440,5144,1
94,,842,4528,1
95,,2138,3080,1
96,,2484,824,1
97,,2512,1115,1
98,,1590,4050,1
99,,2032,2424,1
100,,703,975,1
101,,2290,3427,1
102,,892,1795,1
103,,2218,871,1
104,,2536,4219,1
105,,2228,388,1
106,,1146,3297,1
107,,553,1658,1
108,,2392,4488,1
109,,2481,4993,1
110,,1745,2398,1
111,,2471,1999,1
112,,718,1425,1
113,,1564,3775,1
114,,2522,2996,1
115,,1462,5167,1
116,,1611,202,1
117,,2377,479,1
118,,948,3933,1
119,,2341,1427,1
120,,1644,5471,1
121,,2508,4974,1
122,,829,4429,1
123,,1962,2775,1
124,,2344,472,1
125,,730,1408,1
126,,1184,3234,1
127,,1877,2135,1
128,,1931,3771,1
129,,2351,2553,1
130,,2514,617,1
131,,760,3006,1
132,,995,5484,1
133,,122,1147,1
134,,2332,772,1
135,,823,4833,1
136,,2644,6717,1
137,,1853,4309,1
138,,754,1528,1
139,,2094,118,1
140,,2521,3710,1
141,,2050,4270,1
142,,1475,3688,1
143,,1186,3250,1
144,,520,1033,1
145,,2581,6575,1
146,,1978,3442,1
147,,2266,4549,1
148,,1754,4124,1
149,,2204,2166,1
150,,2344,4512,1
151,,2548,1270,1
152,,2482,3609,1
153,,2040,4050,1
154,,2205,5402,1
155,,2287,2776,1
156,,2240,770,1
157,,2529,1948,1
158,,8,4537,1
159,,1416,3040,1
160,,850,4291,1
161,,2211,1864,1
162,,1742,922,1
163,,2104,1689,1
164,,176,5663,1
165,,1642,4379,1
166,,2021,4957,1
167,,290,33,1
168,,2284,301,1
169,,625,4184,1
170,,2358,552,1
171,,442,5325,1
172,,2368,3906,1
173,,286,5383,1
174,,2186,2202,1
175,,2544,5090,1
176,,2450,198,1
177,,2364,1139,1
178,,2277,1221,1
179,,2060,2861,1
180,,1723,848,1
181,,773,5621,1
182,,2199,4081,1
183,,2546,907,1
184,,2144,4536,1
185,,2099,4339,1
186,,2351,3907,1
187,,2517,698,1
188,,945,4801,1
189,,139,1289,1
190,,2399,256,1
191,,2660,6726,1
192,,1552,2838,1
193,,1984,3720,1
194,,2194,1066,1
195,,1296,4453,1
196,,2007,2128,1
197,,600,1662,1
198,,2396,729,1
199,,98,4099,1
200,,2418,921,1
201,,2335,3933,1
202,,1107,2026,1
203,,2372,4087,1
204,,2536,547,1
205,,2525,3055,1
206,,1857,444,1
207,,2366,6700,1
208,,2212,2717,1
209,,1810,2896,1
210,,2514,3697,1
211,,736,4704,1
212,,2005,2046,1
213,,1428,4224,1
214,,346,5313,1
215,,2544,3872,1
216,,1647,6475,1
217,,892,1371,1
218,,2368,2203,1
219,,2549,3710,1
220,,2351,5673,1
221,,1985,981,1
222,,2413,1823,1
223,,2043,3946,1
224,,1972,2361,1
225,,1453,2259,1
226,,2365,4970,1
227,,1753,873,1
228,,1088,2993,1
229,,1718,2793,1
230,,892,1402,1
231,,2263,504,1
232,,2619,3266,1
233,,1847,4935,1
234,,1010,5434,1
235,,2138,5673,1
236,,1977,2997,1
237,,1641,3014,1
238,,2357,3710,1
239,,1898,2147,1
240,,1955,1033,1
241,,908,5019,1
242,,1883,848,1
243,,1418,2559,1
244,,2335,525,1
245,,1869,4875,1
246,,2026,3428,1
247,,2239,4197,1
248,,2372,1081,1
249,,1110,5238,1
250,,889,4652,1
251,,1571,1813,1
252,,2516,668,1
253,,1336,3933,1
254,,1477,1283,1
255,,2534,4045,1
256,,2224,848,1
257,,2521,3815,1
258,,2404,176,1
259,,1844,3710,1
261,,892,3988,1
262,,2548,4569,1
263,,1700,4800,1
264,,2484,3566,1
265,,2392,1001,1
266,,1345,2714,1
267,,1835,1349,1
268,,2516,3759,1
269,,2662,6168,1
270,,1037,3719,1
271,,2409,776,1
272,,2159,4526,1
273,,2411,961,1
274,,2292,4143,1
275,,1820,5564,1
276,,2295,2633,1
277,,2522,4921,1
278,,593,1836,1
279,,2516,4720,1
280,,560,1608,1
281,,753,5364,1
282,,2482,3761,1
283,,1489,750,1
284,,599,1654,1
285,,2545,5322,1
286,,2541,1644,1
287,,1627,5395,1
288,,1792,573,1
289,,1391,4087,1
290,,2331,3144,1
291,,523,3105,1
292,,1671,1502,1
293,,2420,5554,1
294,,1363,1148,1
295,,1626,5275,1
296,,1292,564,1
297,,2370,3881,1
298,,925,4177,1
299,,2545,1011,1
300,,2304,5469,1
301,,1153,811,1
302,,2445,1937,1
303,,2301,3558,1
304,,2148,3414,1
305,,2479,282,1
306,,2384,848,1
307,,2002,3138,1
308,,2379,951,1
309,,2236,2219,1
310,,2343,1465,1
311,,2127,2378,1
312,,2355,7,1
313,,760,1190,1
314,,1916,2881,1
315,,2459,5414,1
316,,2035,2544,1
317,,2365,1659,1
318,,1095,4098,1
319,,2254,2651,1
320,,1911,3395,1
321,,2533,2610,1
322,,1704,2711,1
323,,2110,4486,1
324,,1660,3203,1
325,,970,1632,1
326,,2474,4666,1
327,,2458,465,1
328,,2447,1269,1
329,,1395,4283,1
330,,1176,2053,1
