id,name,note,www
maddiesoni,Ian Maddieson,,http://linguistics.berkeley.edu/people/person_detail.php?person=23
andersongds,Gregory D.S. Anderson,,http://www.livingtongues.org/aboutus.html
hajekj,John Hajek,,http://www.languages.unimelb.edu.au/about/staff/profiles/hajek.html
goedemansr,Rob Goedemans,,http://website.leidenuniv.nl/~goedemansrwn/
vanderhulsth,Harry van der Hulst,,http://www.linguistics.uconn.edu/People/vanderhulst.html
bickelb,Balthasar Bickel,,http://www.uni-leipzig.de/~bickel/
nicholsj,Johanna Nichols,,http://socrates.berkeley.edu/~jbn/
dryerms,Matthew S. Dryer,,http://linguistics.buffalo.edu/people/faculty/dryer/dryer/dryer.htm
rubinoc,Carl Rubino,,http://iloko.tripod.com/
baermanm,Matthew Baerman,,http://www.defectiveness.surrey.ac.uk/Baerman/
brownd,Dunstan Brown,,http://www.surrey.ac.uk/cmc/staff-profiles/brown-dunstan.htm
corbettgg,Greville G. Corbett,,http://www.surrey.ac.uk/LIS/SMG/gcorbett.htm
haspelmathm,Martin Haspelmath,,http://www.eva.mpg.de/lingua/staff/haspelmath.php
danielm,Michael Daniel,,
moravcsike,Edith Moravcsik,,http://www4.uwm.edu/letsci/linguistics/faculty/moravcsik.cfm
cysouwm,Michael Cysouw,,http://web.mac.com/cysouw/home/index.html
diesselh,Holger Diessel,,http://www.personal.uni-jena.de/~x4diho/index.html
bhatdns,D.N.S. Bhat,,
siewierskaa,Anna Siewierska,,http://www.ling.lancs.ac.uk/profiles/299/
helmbrechtj,Johannes Helmbrecht,,http://www-avs.uni-regensburg.de/johannes_helmbrecht.htm
konige,Ekkehard König,,http://userpages.fu-berlin.de/~koenig/
siemundp,Peter Siemund,,http://www1.uni-hamburg.de/peter.siemund/
toppers,Stephan Töpper,,http://www.fu-berlin.de/presse/wir/index.html
bakkerd,Dik Bakker,,http://home.medewerker.uva.nl/d.bakker/
iggesenoa,Oliver A. Iggesen,,
stolzt,Thomas Stolz,,http://www.fb10.uni-bremen.de/homepages/stolz/default.htm
strohc,Cornelia Stroh,,http://www.fb10.uni-bremen.de/lehrpersonal/stroh.aspx
urdzea,Aina Urdze,,http://www.fb10.uni-bremen.de/lehrpersonal/urdze.aspx
veselinovaln,Ljuba N. Veselinova,,http://www.ling.su.se/staff/ljuba/
gild,David Gil,,http://www.eva.mpg.de/lingua/staff/gil.php
koptjevskajatammm,Maria Koptjevskaja-Tamm,,http://www.ling.su.se/staff/tamm/
stassenl,Leon Stassen,,
dahlo,Östen Dahl,,http://www2.ling.su.se/staff/oesten/index.htm
velupillaiv,Viveka Velupillai,,http://www.lalitha.de/velupillai/index.html
vanderauweraj,Johan van der Auwera,,http://webh01.ua.ac.be/vdauwera/
lejeunel,Ludo Lejeune,,
pappuswamyu,Umarani Pappuswamy,,
goussevv,Valentin Goussev,,
dobrushinan,Nina Dobrushina,,
ammanna,Andreas Ammann,,
dehaanf,Ferdinand de Haan,,http://www.u.arizona.edu/~fdehaan/
genslerod,Orin D. Gensler,,
comrieb,Bernard Comrie,,http://www.eva.mpg.de/lingua/staff/comrie.php
maslovae,Elena Maslova,,http://anothersumma.net/
nedjalkovvp,Vladimir P. Nedjalkov,,
polinskym,Maria Polinsky,,http://www.fas.harvard.edu/~lingdept/f_polinsky.html
songjj,Jae Jung Song,,http://www.otago.ac.nz/linguistics/staff/song.html
miestamom,Matti Miestamo,,http://www.ling.helsinki.fi/~matmies/
kutevat,Tania Kuteva,,http://www.phil-fak.uni-duesseldorf.de/anglistik3/kuteva/
cristofaros,Sonia Cristofaro,,http://lettere.unipv.it/diplinguistica/docenti.php?&id=121
brownch,Cecil H. Brown,,http://www.niu.edu/anthro/faculty_staff/faculty/Brown.shtml
kayp,Paul Kay,,http://www.icsi.berkeley.edu/~kay/
maffil,Luisa Maffi,,http://ucjeps.berkeley.edu/Endangered_Lang_Conf/Maffi.html
petersonda,David A. Peterson,,http://www.dartmouth.edu/~linguist/faculty/peterson.html
zeshanu,Ulrike Zeshan,,http://www.uclan.ac.uk/schools/iscri/Ulrike_Zeshan.php
