pk,jsondata,language_pk,identifier_pk,description,version
287,,1653,1048,,1
288,,1665,1799,,1
289,,2405,1136,,1
290,,2088,1763,,1
291,,1573,1160,,1
292,,1865,468,,1
293,,1662,1493,,1
294,,224,1642,,1
295,,2356,1642,,1
296,,2301,977,,1
297,,2476,385,,1
298,,1966,1713,,1
299,,1981,1385,,1
300,,632,82,,1
301,,501,82,,1
302,,823,1301,,1
303,,1480,1538,,1
304,,406,1205,,1
305,,1534,1722,,1
306,,1965,1658,,1
307,,1847,1658,,1
308,,430,1393,,1
309,,1928,431,,1
310,,1253,1269,,1
311,,2058,343,,1
312,,1384,220,,1
313,,1355,700,,1
314,,1284,1829,,1
315,,658,206,,1
316,,2050,1792,,1
317,,184,1228,,1
318,,1925,351,,1
319,,1540,351,,1
320,,1107,351,,1
321,,2135,488,,1
322,,759,1715,,1
323,,1897,808,,1
324,,1087,1099,,1
325,,2277,943,,1
326,,137,835,,1
327,,118,685,,1
328,,797,611,,1
329,,1254,1088,,1
330,,988,1014,,1
331,,161,1126,,1
332,,2063,1126,,1
334,,201,1409,,1
335,,746,1520,,1
336,,1159,1372,,1
337,,2237,598,,1
338,,862,967,,1
339,,1501,967,,1
340,,869,384,,1
341,,1593,520,,1
342,,1970,1844,,1
343,,885,1091,,1
344,,1446,374,,1
345,,943,1207,,1
346,,1721,646,,1
347,,625,1567,,1
348,,1639,553,,1
349,,217,1566,,1
350,,1055,898,,1
351,,1267,1443,,1
352,,821,1258,,1
353,,1145,1665,,1
354,,1150,1889,,1
355,,2512,925,,1
356,,2120,1357,,1
357,,2299,247,,1
358,,170,1097,,1
359,,1921,67,,1
360,,1892,504,,1
361,,677,504,,1
362,,64,504,,1
364,,529,504,,1
365,,66,504,,1
366,,319,504,,1
367,,2227,504,,1
368,,2486,30,,1
369,,1745,1970,,1
370,,412,1783,,1
371,,1967,1783,,1
372,,2168,1859,,1
373,,171,1108,,1
374,,2249,414,,1
375,,1155,31,,1
376,,1866,512,,1
377,,681,1914,,1
378,,2078,873,,1
379,,1687,825,,1
