pk,jsondata,key,value
154,,__ValueSet_128A-ngb__,__gone__
155,,__Value_117A-ngb__,__gone__
156,,__ValueSet_117A-ngb__,__gone__
157,,__Value_63A-ngb__,__gone__
158,,__ValueSet_63A-ngb__,__gone__
159,,__Value_83A-ngb__,__gone__
160,,__ValueSet_83A-ngb__,__gone__
161,,__Value_82A-ngb__,__gone__
162,,__ValueSet_82A-ngb__,__gone__
163,,__Value_101A-ngb__,__gone__
164,,__ValueSet_101A-ngb__,__gone__
165,,__Value_143E-ngb__,__gone__
166,,__ValueSet_143E-ngb__,__gone__
167,,__Value_144J-ngb__,__gone__
168,,__ValueSet_144J-ngb__,__gone__
169,,__Value_143A-ngb__,__gone__
170,,__ValueSet_143A-ngb__,__gone__
171,,__Value_144B-ngb__,__gone__
172,,__ValueSet_144B-ngb__,__gone__
173,,__Value_144I-ngb__,__gone__
174,,__ValueSet_144I-ngb__,__gone__
175,,__Value_143F-ngb__,__gone__
176,,__ValueSet_143F-ngb__,__gone__
177,,__Value_144A-ngb__,__gone__
178,,__ValueSet_144A-ngb__,__gone__
179,,__Value_144H-ngb__,__gone__
180,,__ValueSet_144H-ngb__,__gone__
181,,__Value_143G-ngb__,__gone__
182,,__ValueSet_143G-ngb__,__gone__
183,,__Value_144D-ngb__,__gone__
184,,__ValueSet_144D-ngb__,__gone__
185,,__Value_144K-ngb__,__gone__
186,,__ValueSet_144K-ngb__,__gone__
187,,__Value_131A-cea__,__gone__
188,,__ValueSet_131A-cea__,__gone__
189,,__Source_Ming-Chao-Gui-2000__,Gui-2000
190,,__Source_Lamwamu-1973__,Lumwamu-1973
191,,__Genus_guaicuruan__,__gone__
192,,__Genus_easterncushitic__,__gone__
198,,__Family_khoisan__,__gone__
199,,__Family_nilosaharan__,__gone__
200,,__Genus_northernarawakan__,__gone__
201,,__Genus_westerndaly__,__gone__
202,,__Genus_southerndaly__,__gone__
203,,__Genus_westbarkly__,__gone__
204,,__Genus_pamanyungan__,__gone__
205,,__Genus_maran__,__gone__
206,,__Family_australian__,__gone__
207,,__Genus_takic__,californiautoaztecan
208,,__Genus_tubatulabal__,californiautoaztecan
209,,__Genus_chibchanproper__,__gone__
