pk,jsondata,id,name,description,markup_description,family_pk,subfamily,icon
49,,gaagudju,Gaagudju,,,433,,fffff00
800,,californiautoaztecan,California Uto-Aztecan,,,176,,fffff00
122,,guaymi,Guaymiic,,,35,,f009900
130,,aruak,Arhuacic,,,35,,fff4400
801,,chibchaduit,Chibcha-Duit,,,35,,fffff00
802,,tunebo,Tunebo,,,35,,fffcc00
803,,catawban,Catawban,,,146,,fffcc00
391,,siouan,Core Siouan,,,146,,fffffff
804,,ega,Ega,,,123,,f009900
805,,opataeudeve,Opata-Eudeve,,,176,,f222222
806,,senufo,Senufo,,,123,,fcccccc
807,,tusia,Tusia,,,123,Gur,f323232
808,,northerncentralgur,Northern-Central Gur,,,123,Gur,f646464
809,,southerncentralgur,Southern-Central Gur,,,123,Gur,f101010
810,,palaungic,Palaungic,,,14,Mon-Khmer,fcccccc
811,,khmuic,Khmuic,,,14,Mon-Khmer,t000000
812,,day,Day,,,123,Adamawa-Ubangi,t161616
813,,bua,Bua,,,123,Adamawa-Ubangi,t323232
814,,kim,Kim,,,123,Adamawa-Ubangi,t646464
815,,sambaduru,Samba-Duru,,,123,Adamawa-Ubangi,t969696
816,,mumuyeyandang,Mumuye-Yandang,,,123,Adamawa-Ubangi,ta2a2a2
817,,mbumic,Mbumic,,,123,Adamawa-Ubangi,tb6b6b6
818,,bak,Bak,,,123,Atlantic,f000000
819,,tenda,Tenda,,,123,Atlantic,f222222
820,,biafada,Biafada,,,123,Atlantic,f444444
821,,peulserer,Peul-Serer,,,123,Atlantic,f666666
822,,cangin,Cangin,,,123,Atlantic,f888888
823,,wolof,Wolof,,,123,Atlantic,faaaaaa
824,,baibaifas,Baibai-Fas,,,436,,fcccccc
825,,nukuma,Nukuma,,,144,,dff4400
826,,ndu,Ndu,,,144,,fcccccc
827,,inanwatan,Inanwatan,,,437,,fcccccc
828,,southbirdsheadproper,South Bird's Head Proper,,,437,,fcccccc
829,,marind,Marind,,,438,,fcccccc
830,,inlandnorthernmaipuran,Inland Northern Maipuran,,,11,,fcccccc
