pk,jsondata,id,name,description,markup_description,family_pk,subfamily,icon
170,,yuman,Yuman,,,66,,tffffff
171,,seri,Seri,,,66,,c000000
172,,chimariko,Chimariko,,,66,,c0000dd
173,,palaihnihan,Palaihnihan,,,66,,c009900
174,,shasta,Shasta,,,66,,c66ff33
175,,yana,Yana,,,66,,c990099
176,,pomoan,Pomoan,,,66,,c9999ff
177,,huarpe,Huarpe,,,67,,c99ffff
178,,huavean,Huavean,,,68,,caa0000
179,,boran,Boran,,,69,,ccccccc
180,,huitoto,Huitoto,,,69,,cdd0000
181,,germanic,Germanic,,,70,,cff4400
182,,indic,Indic,,,70,,cff6600
183,,iranian,Iranian,,,70,,cff66ff
184,,romance,Romance,,,70,,cffcc00
185,,slavic,Slavic,,,70,,cffff00
186,,greek,Greek,,,70,,cffffcc
187,,celtic,Celtic,,,70,,cffffff
188,,baltic,Baltic,,,70,,d000000
189,,armenian,Armenian,,,70,,d0000dd
190,,albanian,Albanian,,,70,,d009900
191,,southerniroquoian,Southern Iroquoian,,,71,,d66ff33
192,,northerniroquoian,Northern Iroquoian,,,71,,d990099
193,,itonama,Itonama,,,72,,d9999ff
194,,jabuti,Jabutí,,,102,,d99ffff
195,,japanese,Japanese,,,74,,daa0000
196,,jirajaran,Jirajaran,,,75,,dcccccc
197,,jivaroan,Jivaroan,,,76,,ddd0000
198,,kadugli,Kadugli,,,77,,dff4400
199,,kalapuyan,Kalapuyan,,,78,,dff6600
200,,kapixana,Kapixana,,,212,,dff66ff
201,,karankawa,Karankawa,,,79,,dffcc00
202,,kariri,Kariri,,,206,,dffff00
203,,easternpauwasi,Eastern Pauwasi,,,80,,dffffcc
204,,karok,Karok,,,81,,dffffff
205,,kartvelian,Kartvelian,,,82,,f000000
206,,katukinan,Katukinan,,,83,,f0000dd
207,,kaure,Kaure,,,84,,f009900
208,,kayagar,Kayagar,,,85,,f66ff33
209,,keresan,Keresan,,,86,,f990099
215,,kiowatanoan,Kiowa-Tanoan,,,88,,fff4400
216,,kiwaian,Kiwaian,,,89,,fff6600
217,,kolopom,Kolopom,,,90,,fff66ff
218,,korean,Korean,,,91,,fffcc00
219,,kunza,Kunza,,,92,,fffff00
220,,kuot,Kuot,,,93,,fffffcc
221,,kusunda,Kusunda,,,94,,fffffff
222,,kutenai,Kutenai,,,95,,s000000
223,,kwaza,Kwaza,,,96,,s0000dd
224,,kwerba,Kwerba,,,97,,s009900
225,,kwomtari,Kwomtari,,,435,,s66ff33
227,,laal,Laal,,,98,,s9999ff
228,,lakesplain,Lakes Plain,,,99,,s99ffff
229,,leftmay,Left May,,,210,,saa0000
230,,leko,Leko,,,211,,scccccc
231,,lowersepik,Lower Sepik,,,100,,sdd0000
232,,botin,Botin,,,100,,sff4400
233,,annaberg,Annaberg,,,100,,sff6600
234,,mikarew,Mikarew,,,100,,sff66ff
235,,lowerramu,Lower Ramu,,,100,,sffcc00
236,,lule,Lule,,,101,,sffff00
238,,gekaingang,Ge-Kaingang,,,102,,sffffff
239,,maxakali,Maxakalí,,,102,,t000000
240,,botocudo,Botocudo,,,102,,t0000dd
243,,karaja,Karajá,,,102,,t990099
244,,rikbaktsa,Rikbaktsa,,,102,,t9999ff
245,,maku,Máku,,,103,,t99ffff
248,,mascoian,Mascoian,,,105,,tdd0000
249,,matacoan,Matacoan,,,106,,tff4400
214,,sandawe,Sandawe,,,373,,fdd0000
237,,yate,Yatê,,,407,,sffffcc
241,,guato,Guató,,,409,,t009900
242,,bororo,Bororoan,,,408,,t66ff33
250,,mayan,Mayan,,,107,,tff6600
251,,misumalpan,Misumalpan,,,108,,tff66ff
252,,mixezoque,Mixe-Zoque,,,109,,tffcc00
253,,mombum,Mombum,,,110,,tffff00
254,,monumbo,Monumbo,,,111,,tffffcc
255,,moreheadanduppermarorivers,Morehead and Upper Maro Rivers,,,112,,tffffff
256,,morwap,Morwap,,,113,,c000000
257,,mosetenan,Mosetenan,,,114,,c0000dd
258,,movima,Movima,,,115,,c009900
259,,mura,Mura,,,116,,c66ff33
260,,muskogean,Muskogean,,,117,,c990099
261,,nadahup,Nadahup,,,177,,c9999ff
262,,athapaskan,Athapaskan,,,118,,c99ffff
263,,tlingit,Tlingit,,,118,,caa0000
264,,eyak,Eyak,,,118,,ccccccc
