pk,jsondata,key,description,contribution_pk,source_pk,version
1,,,,1,5734,1
2,,,,1,5733,1
3,,,,5,5735,1
4,,,,6,530,1
5,,,,6,700,1
6,,,,9,5740,1
7,,,,9,5736,1
8,,,,9,6129,1
9,,,,9,5743,1
10,,,,9,1163,1
11,,,,9,1202,1
12,,,,9,296,1
13,,,,9,1198,1
14,,,,9,1114,1
15,,,,9,1116,1
16,,,,9,987,1
17,,,,9,1090,1
18,,,,9,109,1
19,,,,9,1086,1
20,,,,9,5744,1
21,,,,9,206,1
22,,,,9,559,1
23,,,,9,123,1
24,,,,9,189,1
25,,,,9,5737,1
26,,,,9,1159,1
27,,,,9,791,1
28,,,,9,262,1
29,,,,9,1075,1
30,,,,9,5738,1
31,,,,9,104,1
32,,,,9,1151,1
33,,,,9,718,1
34,,,,9,802,1
35,,,,9,664,1
36,,,,9,5745,1
37,,,,9,1011,1
38,,,,9,565,1
39,,,,9,74,1
40,,,,9,1079,1
41,,,,9,292,1
42,,,,9,1112,1
43,,,,9,1191,1
44,,,,9,1029,1
45,,,,9,103,1
46,,,,9,5741,1
47,,,,9,5742,1
48,,,,9,997,1
49,,,,9,398,1
50,,,,9,5739,1
51,,,,10,1231,1
52,,,,10,5746,1
53,,,,10,1305,1
54,,,,10,1243,1
55,,,,10,5748,1
56,,,,10,336,1
57,,,,10,247,1
58,,,,10,248,1
59,,,,10,5749,1
60,,,,10,636,1
61,,,,10,1054,1
62,,,,10,5747,1
63,,,,10,322,1
64,,,,10,5751,1
65,,,,10,1346,1
66,,,,10,618,1
67,,,,10,5750,1
68,,,,10,1343,1
69,,,,11,5752,1
70,,,,11,5753,1
71,,,,13,825,1
72,,,,13,253,1
73,,,,13,5754,1
74,,,,14,5755,1
75,,,,14,5757,1
76,,,,14,5756,1
77,,,,15,5758,1
78,,,,16,5759,1
79,,,,16,5760,1
80,,,,16,6495,1
81,,,,16,5761,1
82,,,,16,5765,1
83,,,,16,5763,1
84,,,,16,5764,1
85,,,,16,5762,1
86,,,,20,5772,1
87,,,,20,5771,1
88,,,,20,206,1
89,,,,20,149,1
90,,,,21,5772,1
91,,,,21,5771,1
92,,,,21,247,1
93,,,,21,5773,1
94,,,,21,6213,1
95,,,,21,598,1
96,,,,21,245,1
97,,,,21,172,1
98,,,,21,1527,1
99,,,,21,1115,1
100,,,,22,1934,1
101,,,,22,5771,1
102,,,,22,323,1
103,,,,22,1086,1
104,,,,22,1026,1
105,,,,22,6191,1
106,,,,23,2269,1
107,,,,23,1470,1
108,,,,23,3378,1
109,,,,23,2084,1
110,,,,23,5773,1
111,,,,23,5774,1
112,,,,23,5776,1
113,,,,23,4050,1
114,,,,23,5775,1
115,,,,23,5770,1
116,,,,24,1101,1
117,,,,24,206,1
118,,,,24,1932,1
119,,,,24,107,1
120,,,,24,637,1
121,,,,24,5778,1
122,,,,24,707,1
123,,,,24,4591,1
124,,,,24,175,1
125,,,,24,5776,1
126,,,,24,4050,1
127,,,,24,5775,1
128,,,,24,5770,1
129,,,,25,2269,1
130,,,,25,565,1
131,,,,25,2086,1
132,,,,25,5779,1
133,,,,25,246,1
134,,,,25,5776,1
135,,,,25,4050,1
136,,,,25,5775,1
137,,,,26,1419,1
138,,,,26,1206,1
139,,,,26,2611,1
140,,,,26,1266,1
141,,,,26,2687,1
142,,,,26,2583,1
143,,,,26,2696,1
144,,,,26,2392,1
145,,,,26,982,1
146,,,,26,294,1
147,,,,26,1420,1
148,,,,26,1817,1
149,,,,26,2462,1
150,,,,26,725,1
151,,,,26,1208,1
152,,,,26,2162,1
153,,,,26,5781,1
154,,,,26,5782,1
155,,,,26,7347,1
156,,,,26,5780,1
157,,,,27,5783,1
158,,,,27,3015,1
159,,,,27,2990,1
160,,,,27,476,1
161,,,,27,944,1
162,,,,27,5786,1
163,,,,27,142,1
164,,,,27,950,1
165,,,,27,2961,1
166,,,,27,565,1
167,,,,27,2962,1
168,,,,27,2207,1
169,,,,27,112,1
170,,,,27,5785,1
171,,,,27,468,1
172,,,,27,2851,1
173,,,,27,5784,1
174,,,,27,3014,1
175,,,,27,1258,1
176,,,,27,1747,1
177,,,,27,286,1
178,,,,27,245,1
179,,,,27,57,1
180,,,,27,307,1
181,,,,28,5787,1
182,,,,28,687,1
183,,,,28,5738,1
184,,,,28,3796,1
185,,,,28,1554,1
186,,,,28,708,1
187,,,,28,722,1
188,,,,28,615,1
189,,,,28,1541,1
190,,,,28,3054,1
191,,,,28,610,1
192,,,,28,5788,1
193,,,,28,1102,1
194,,,,28,5789,1
195,,,,29,1001,1
196,,,,29,62,1
197,,,,29,586,1
198,,,,29,184,1
199,,,,29,572,1
200,,,,29,730,1
201,,,,29,266,1
202,,,,29,3533,1
203,,,,29,590,1
204,,,,30,384,1
205,,,,30,3105,1
206,,,,30,5792,1
207,,,,30,3088,1
208,,,,30,4136,1
209,,,,30,5790,1
210,,,,30,3136,1
211,,,,30,2901,1
212,,,,30,3130,1
213,,,,30,5793,1
214,,,,30,5795,1
215,,,,30,744,1
216,,,,30,5794,1
217,,,,30,4050,1
218,,,,30,3103,1
219,,,,30,3089,1
220,,,,30,5791,1
221,,,,30,3108,1
222,,,,30,5626,1
223,,,,30,1529,1
224,,,,30,3074,1
225,,,,30,3098,1
226,,,,31,3096,1
227,,,,31,5626,1
228,,,,31,3088,1
229,,,,31,2901,1
230,,,,31,3143,1
231,,,,31,5796,1
232,,,,31,7302,1
233,,,,31,897,1
234,,,,31,3140,1
235,,,,31,84,1
236,,,,31,3079,1
237,,,,32,795,1
238,,,,32,3096,1
239,,,,32,3088,1
240,,,,32,3124,1
241,,,,32,5798,1
242,,,,32,3097,1
243,,,,32,3098,1
244,,,,32,5799,1
245,,,,32,5800,1
246,,,,32,5801,1
247,,,,32,5802,1
248,,,,32,5797,1
249,,,,32,5803,1
250,,,,33,239,1
251,,,,33,2512,1
252,,,,33,2221,1
253,,,,33,2611,1
254,,,,33,2251,1
255,,,,33,3194,1
256,,,,33,282,1
257,,,,33,2590,1
258,,,,33,2214,1
259,,,,33,2191,1
260,,,,33,3149,1
261,,,,33,4295,1
262,,,,33,6304,1
263,,,,33,479,1
264,,,,33,3135,1
265,,,,33,980,1
266,,,,33,1988,1
267,,,,33,2848,1
268,,,,33,2625,1
269,,,,33,524,1
270,,,,33,436,1
271,,,,33,2485,1
272,,,,33,2310,1
273,,,,33,52,1
274,,,,33,149,1
275,,,,33,91,1
276,,,,33,844,1
277,,,,33,2397,1
278,,,,33,245,1
279,,,,33,760,1
280,,,,33,2107,1
281,,,,33,3429,1
282,,,,34,3325,1
283,,,,34,3210,1
284,,,,34,3323,1
285,,,,34,2007,1
286,,,,34,2590,1
287,,,,34,3387,1
288,,,,34,2652,1
289,,,,34,1266,1
290,,,,34,2606,1
291,,,,34,3309,1
292,,,,34,637,1
293,,,,34,707,1
294,,,,34,598,1
295,,,,34,327,1
296,,,,34,2965,1
297,,,,34,1225,1
298,,,,34,2010,1
299,,,,34,3358,1
300,,,,34,3363,1
301,,,,34,5804,1
302,,,,34,3429,1
303,,,,35,5806,1
304,,,,35,5805,1
305,,,,35,5808,1
306,,,,35,3429,1
307,,,,35,5807,1
308,,,,35,3582,1
309,,,,36,5810,1
310,,,,36,5812,1
311,,,,36,3429,1
312,,,,36,5809,1
313,,,,36,5814,1
314,,,,36,5808,1
315,,,,36,5813,1
316,,,,36,195,1
317,,,,36,6596,1
318,,,,37,3713,1
319,,,,37,565,1
320,,,,37,1034,1
321,,,,37,3496,1
322,,,,37,5815,1
323,,,,37,2169,1
324,,,,37,2759,1
325,,,,37,1030,1
326,,,,37,2354,1
327,,,,37,2082,1
328,,,,37,2722,1
329,,,,37,725,1
330,,,,37,1007,1
331,,,,37,1017,1
332,,,,37,2124,1
333,,,,38,184,1
334,,,,38,1065,1
335,,,,38,2327,1
336,,,,38,1221,1
337,,,,38,2759,1
338,,,,38,327,1
339,,,,38,5816,1
340,,,,38,145,1
341,,,,38,5817,1
342,,,,38,1349,1
343,,,,38,1380,1
344,,,,38,2173,1
345,,,,38,1007,1
346,,,,38,2280,1
347,,,,39,246,1
348,,,,39,153,1
349,,,,39,282,1
350,,,,39,323,1
351,,,,39,664,1
352,,,,39,835,1
353,,,,39,5817,1
354,,,,39,5823,1
355,,,,39,5824,1
356,,,,39,107,1
357,,,,39,5818,1
358,,,,39,1126,1
359,,,,39,559,1
360,,,,39,176,1
361,,,,39,5821,1
362,,,,39,565,1
363,,,,39,5819,1
364,,,,39,5822,1
365,,,,39,5820,1
366,,,,40,479,1
367,,,,40,492,1
368,,,,40,1126,1
369,,,,40,950,1
370,,,,40,3116,1
371,,,,41,5729,1
372,,,,41,1454,1
373,,,,41,5825,1
374,,,,41,944,1
375,,,,41,1975,1
376,,,,41,2038,1
377,,,,42,1065,1
378,,,,42,1115,1
379,,,,42,5729,1
380,,,,42,1167,1
381,,,,42,688,1
382,,,,42,1473,1
383,,,,42,1474,1
384,,,,42,5826,1
385,,,,43,1333,1
386,,,,43,322,1
387,,,,43,722,1
388,,,,43,2466,1
389,,,,43,5828,1
390,,,,43,2106,1
391,,,,43,1995,1
392,,,,43,76,1
393,,,,43,3514,1
394,,,,43,1939,1
395,,,,43,239,1
396,,,,43,5778,1
397,,,,43,3574,1
398,,,,43,327,1
399,,,,43,248,1
400,,,,43,3589,1
401,,,,43,398,1
402,,,,43,1385,1
403,,,,43,318,1
404,,,,43,3583,1
405,,,,43,1121,1
406,,,,43,1296,1
407,,,,43,436,1
408,,,,43,712,1
409,,,,43,5827,1
410,,,,44,3088,1
411,,,,44,5829,1
412,,,,44,5831,1
413,,,,44,606,1
414,,,,44,2080,1
415,,,,44,5830,1
416,,,,44,1213,1
417,,,,44,2583,1
418,,,,44,3494,1
419,,,,44,5817,1
420,,,,44,4136,1
421,,,,44,586,1
422,,,,44,1232,1
423,,,,45,5834,1
424,,,,45,6445,1
425,,,,45,5837,1
426,,,,45,5835,1
427,,,,45,3665,1
428,,,,45,3675,1
429,,,,45,3309,1
430,,,,45,3123,1
