ID,NameOLD,NameNEW,MacroareaOLD,MacroareaNEW,LatitudeOLD,LatitudeNEW,LongitudeOLD,LongitudeNEW,GlottocodeOLD,GlottocodeNEW,ISO639P3code,FamilyOLD,FamilyNEW,SubfamilyOLD,SubfamilyNEW,GenusOLD,GenusNEW,GenusIcon,ISO_codesOLD,ISO_codesNEW,Samples_100,Samples_200,Country_IDOLD,Country_IDNEW,Source
cwe,Columbia-Wenatchi,Columbia-Wenatchi,North America,North America,47.5,47.5,-120,-120,colu1241,colu1241,col,Salishan,Salishan,,,Interior Salish,Interior Salish,d990099,col,col,0,0,US,US,Kinkade-1982
cmn,Comanche,Comanche,North America,North America,33.5,33.5,-101.5,-101.5,coma1245,coma1245,com,Uto-Aztecan,Uto-Aztecan,,,Numic,Northern Uto-Aztecan,s000000,com,com,0,1,US,US,Canonge-1958 Charney-1993 Osborn-and-Smalley-1949 Riggs-1949 Robinson-and-Armagost-1990 Wistrand-Robinson-and-Armagost-1990
cof,Cofán,Cofán,South America,South America,0.166666667,0.166666667,-77.16666667,-77.16666667,cofa1242,cofa1242,con,,,,,,,s99ffff,con,con,0,0,EC CO,EC CO,Borman-1962 Borman-1976
cmx,Comox,Comox,North America,North America,50.16666667,50.16666667,-125,-125,como1259,como1259,coo,Salishan,Salishan,,,Central Salish,Central Salish,d009900,coo,coo,0,0,CA,CA,Hagege-1981 Harris-1981b Harris-1981c
cop,Coptic,Coptic,Africa,Africa,26,26,32,32,copt1239,copt1239,cop,Afro-Asiatic,Afro-Asiatic,,,Egyptian-Coptic,Egyptian-Coptic,caa0000,cop,cop,0,0,EG,EG,Lambdin-1983 Layton-2000 Mallon-1956 Plisch-1999 Plumley-1948 Shisha-Halevy-1988
crn,Cornish,Cornish,Eurasia,Eurasia,50.33333333,50.33333333,-5,-5,corn1251,corn1251,cor,Indo-European,Indo-European,,,Celtic,Celtic,cffffff,cor,cor,0,0,GB,GB,George-1993 Jenner-1904 Nance-1978 Pool-1958 Thomas-1992b
kgi,Konyagi,Konyagi,Africa,Africa,12.5,12.5,-13.25,-13.25,wame1240,wame1240,cou,Niger-Congo,Niger-Congo,Atlantic,North-Central Atlantic,Tenda,Tenda,f222222,cou,cou,0,0,ML GN,ML GN,Santos-1977
cch,Chocho,Chocho,North America,North America,17.66666667,17.66666667,-97.41666667,-97.41666667,choc1279,choc1279,coz,Oto-Manguean,Oto-Manguean,,,Popolocan,Popolocan,tffffcc,coz,coz,0,0,MX,MX,Ruiz-de-Bravo-Ahuja-1977 Veerman-Leichsenring-2000
cpl,Chinantec (Palantla),Chinantec (Palantla),North America,North America,18.83333333,18.83333333,-96.75,-96.75,pala1351,pala1351,cpa,Oto-Manguean,Oto-Manguean,,,Chinantecan,Chinantecan,tff6600,cpa,cpa,0,0,MX,MX,Bybee-et-al-1994 Merrifield-1968
lnw,Lonwolwol,Lonwolwol,Papunesia,Papunesia,-16.21666667,-16.21666667,168,168,lonw1238,lonw1238,crc,Austronesian,Austronesian,Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Oceanic,c0000dd,crc,crc,0,0,VU,VU,Paton-1971 Paton-1973
coe,Coeur d'Alene,Coeur d'Alene,North America,North America,47.25,47.25,-116.5,-116.5,coeu1236,coeu1236,crd,Salishan,Salishan,,,Interior Salish,Interior Salish,d990099,crd,crd,0,0,US,US,Doak-1997 Reichard-1933-1938 Reichard-1959
mcf,Michif,Michif,North America,North America,52,52,-100.1666667,-100.1666667,mich1243,mich1243,crg,Algic,Algic,,,Algonquian,Algonquian,cffffff,crg,crg,0,0,CA,CA,Bakker-1997
cri,Crimean Tatar,Crimean Tatar,Eurasia,Eurasia,45,45,34.08333333,34.08333333,crim1257,crim1257,crh,Altaic,Altaic,,,Turkic,Turkic,d0000dd,crh,crh,0,0,UZ,UZ,Izidinova-1997 Jankowski-1992 Sevortjan-1966
cre,Cree (Plains),Cree (Plains),North America,North America,54,54,-110,-110,plai1258,plai1258,crk,Algic,Algic,,,Algonquian,Algonquian,cffffff,crk,crk,1,1,CA,CA,Ahenakew-and-Wolfart-1983 Ahenakew-and-Wolfart-1992 Anderson-1975 Dahlstrom-1991 Hive-1948 LeClaire-and-Cardinal-1998 Nichols-1992 Okimasis-and-Ratt-1999 Russell-1999 Vinay-1992 Wolfart-1973 Wolfart-1996 Wolfart-and-Ahenakew-1993 Wolfart-and-Ahenakew-1998 Wolfart-and-Carroll-1981
cor,Cora,Cora,North America,North America,22.16666667,22.16666667,-104.8333333,-104.8333333,elna1235,elna1235,crn,Uto-Aztecan,Uto-Aztecan,,,Corachol,Corachol,fff6600,crn,crn,0,0,MX,MX,Casad-1984 Casad-1985 Langacker-1976 McMahon-1959 McMahon-1967
cro,Crow,Crow,North America,North America,47,47,-108,-108,crow1244,crow1244,cro,Siouan,Siouan,,,Core Siouan,Missouri River Siouan,fffffff,cro,cro,0,0,US,US,Lowie-1941 Reed-1975
crt,Chorote,Chorote,South America,South America,-22.5,-22.5,-62.5,-62.5,chor1274,chor1274,,Matacoan,Matacoan,,,Matacoan,Matacoan,tff4400,crq crt,crq crt,0,0,PY BO AR,PY BO AR,Gerzenstein-1978 Gerzenstein-1983 Hunt-1915
