ID,NameOLD,NameNEW,MacroareaOLD,MacroareaNEW,LatitudeOLD,LatitudeNEW,LongitudeOLD,LongitudeNEW,GlottocodeOLD,GlottocodeNEW,ISO639P3code,FamilyOLD,FamilyNEW,SubfamilyOLD,SubfamilyNEW,GenusOLD,GenusNEW,GenusIcon,ISO_codesOLD,ISO_codesNEW,Samples_100,Samples_200,Country_IDOLD,Country_IDNEW,Source
gho,Ghotuo,Ghotuo,Africa,Africa,7.083333333,7.083333333,5.75,5.75,ghot1243,ghot1243,aaa,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Edoid,Edoid,f9999ff,aaa,aaa,0,0,NG,NG,
aab,Arapesh (Abu),Arapesh (Abu),,Papunesia,-3.45,-3.45,142.95,142.95,,abua1245,,Torricelli,Torricelli,,,Kombio-Arapesh,Kombio-Arapesh,c0000dd,,aah,0,0,PG,PG,Nekitel-1985
ktk,Kotoko,Kotoko,Africa,Africa,11.33333333,11.33333333,15.33333333,15.33333333,afad1236,afad1236,aal,Afro-Asiatic,Afro-Asiatic,Chadic,Chadic,Biu-Mandara,Biu-Mandara,c990099,aal,aal,0,0,CF,CF,Bouny-1977
qaf,Qafar,Qafar,Africa,Africa,12,12,42,42,afar1241,afar1241,aar,Afro-Asiatic,Afro-Asiatic,Cushitic,Cushitic,Lowland East Cushitic,Lowland East Cushitic,cff6600,aar,aar,0,0,ET ER DJ,ET ER DJ,Bliese-1981 Corbett-1991 Hayward-1998 Malherbe-and-Rosenberg-1996 Parker-and-Hayward-1985
aba,Abau,Abau,Papunesia,Papunesia,-4,-4,141.25,141.25,abau1245,abau1245,aau,Sepik,Sepik,,,Upper Sepik,Abau,ddd0000,aau,aau,0,0,PG,PG,Bailey-1975
bnk,Bankon,Bankon,Africa,Africa,4.416666667,4.416666667,9.583333333,9.583333333,bank1256,bank1256,abb,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Bantoid,Wide Grassfields,d0000dd,abb,abb,0,0,CM,CM,Spellenberg-1969
abw,Abenaki (Western),Abenaki (Western),North America,North America,44,44,-72.25,-72.25,west2630,west2630,abe,Algic,Algic,,,Algonquian,Algonquian,cffffff,abe,abe,0,0,CA US,CA US,Day-1994 Day-1995
abd,Abidji,Abidji,Africa,Africa,5.666666667,5.666666667,-4.583333333,-4.583333333,abid1235,abid1235,abi,Niger-Congo,Niger-Congo,,Kwa,Kwa,Agneby,d009900,abi,abi,0,0,CI,CI,
akb,Aka-Biada,Aka-Biada,Eurasia,Eurasia,11.66666667,11.66666667,92.5,92.5,akab1249,akab1249,abj,Great Andamanese,Great Andamanese,,,Great Andamanese,Great Andamanese,tdd0000,abj,abj,0,0,IN,IN,Portman-1887b
abk,Abkhaz,Abkhaz,Eurasia,Eurasia,43.08333333,43.08333333,41,41,abkh1244,abkh1244,abk,Northwest Caucasian,Northwest Caucasian,,,Northwest Caucasian,Northwest Caucasian,t0000dd,abk,abk,1,1,GE,GE,Bybee-et-al-1994 Gecadze-1979 Hewitt-1979 Hewitt-1987 Hewitt-1989a Hewitt-1989d Hewitt-and-Khiba-1979 Lomtatidze-1967b Lomtatidze-1996 Spruyt-1986
abz,Abaza,Abaza,Eurasia,Eurasia,44,44,42,42,abaz1241,abaz1241,abq,Northwest Caucasian,Northwest Caucasian,,,Northwest Caucasian,Northwest Caucasian,t0000dd,abq,abq,0,0,RU,RU,Anonymous-1956 Genko-1995 Lomtatidze-and-Klychev-1989 OHerin-2001
amb,Ambulas,Ambulas,Papunesia,Papunesia,-3.833333333,-3.833333333,143,143,ambu1247,ambu1247,abt,Sepik,Sepik,,,Ndu,Ndu,fcccccc,abt,abt,0,0,PG,PG,Laycock-1965a Nichols-1992 Wilson-1980
abh,Arabic (Bahrain),Arabic (Bahrain),Eurasia,Eurasia,26,26,50.5,50.5,baha1259,baha1259,abv,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,abv,abv,0,0,BH,BH,
abv,Abui,Abui,Papunesia,Papunesia,-8.25,-8.25,124.6666667,124.6666667,abui1241,abui1241,abz,Timor-Alor-Pantar,Greater West Bomberai,,Timor-Alor-Pantar,Greater Alor,Alor-Pantar,tcccccc,abz,abz,0,0,ID,ID,Kratochvil-2007
acg,Achagua,Achagua,South America,South America,4.416666667,4.416666667,-72.25,-72.25,acha1250,acha1250,aca,Arawakan,Arawakan,,,Inland Northern Arawakan,Japura-Colombia,cdd0000,aca,aca,0,0,CO,CO,Aikhenvald-2007b Huber-and-Reed-1992 Melendez-1989 Wilson-and-Levinsohn-1992
ace,Acehnese,Acehnese,Eurasia,Eurasia,5.5,5.5,95.5,95.5,achi1257,achi1257,ace,Austronesian,Austronesian,,,Malayo-Sumbawan,Malayo-Sumbawan,d990099,ace,ace,0,0,ID,ID,Aboe-Bakar-et-al-1985 Cowan-1981 Durie-1985 Durie-1995 Durie-et-al-1994 van-Langen-1889
lcr,Lesser Antillean French Creole,Lesser Antillean French Creole,North America,North America,15,15,-61.16666667,-61.16666667,,less1242,,other,other,,,Creoles and Pidgins,Creoles and Pidgins,taa0000,acf gcf,acf gcf,0,0,MQ GY GD TT DM LC GP,MQ GY GD TT DM LC GP,Holm-1988
acl,Acholi,Acholi,Africa,Africa,3,3,32.66666667,32.66666667,acol1236,acol1236,ach,Eastern Sudanic,Eastern Sudanic,,Nilotic,Nilotic,Western Nilotic,sffcc00,ach,ach,0,0,UG SS,UG SS,Crazzolara-1938 Crazzolara-1955 Stolz-1996
akc,Aka-Cari,Aka-Cari,Eurasia,Eurasia,13.5,13.5,93,93,akac1240,akac1240,aci,Great Andamanese,Great Andamanese,,,Great Andamanese,Great Andamanese,tdd0000,aci,aci,0,0,IN,IN,Portman-1887b
arq,Arabic (Iraqi),Arabic (Iraqi),Eurasia,Eurasia,33,33,44,44,meso1252,meso1252,acm,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,acm,acm,0,0,IQ,IQ,Erwin-1963
acn,Achang,Achang,Eurasia,Eurasia,25,25,98.5,98.5,acha1249,acha1249,acn,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Burmese-Lolo,Burmese-Lolo,f9999ff,acn,acn,0,0,CN MM,CN MM,Dai-and-Cui-1985
aci,Achí,Achí,North America,North America,15.16666667,15.16666667,-90.5,-90.5,achi1256,achi1256,acr,Mayan,Mayan,,,Mayan,Mayan,tff6600,acr,acr,0,0,GT,GT,Lopez-and-Iboy-1992
acu,Achuar,Achuar,South America,South America,-2.66667,-2.66667,-76,-76,achu1248,achu1248,acu,Jivaroan,Jivaroan,,,Jivaroan,Jivaroan,ddd0000,acu,acu,0,0,PE,PE,Fast-and-Fast-1981 Wise-1978
acm,Achumawi,Achumawi,North America,North America,41.5,41.5,-121,-121,achu1247,achu1247,acv,Hokan,Hokan,,Palaihnihan,Palaihnihan,Achumawi,c009900,acv,acv,0,0,US,US,Olmsted-1964 Olmsted-1966 Olmsted-1977 de-Angulo-and-Freeland-1931
arh,Arabic (Hijazi),Arabic (Hijazi),Eurasia,Eurasia,26,26,38,38,hija1235,hija1235,acw,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,acw,acw,0,0,SA,SA,Al-Mozainy-1981
ako,Arabic (Kormakiti),Arabic (Kormakiti),Eurasia,Eurasia,35.25,35.25,33.5,33.5,cypr1248,cypr1248,acy,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,acy,acy,0,0,CY,CY,
boj,Bori,Bori,Eurasia,Eurasia,28.33333333,28.33333333,94.75,94.75,damu1236,bori1243,adi,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Tani,Tani,faa0000,adi,adi,0,0,IN,IN,Megu-1988
adi,Adioukrou,Adioukrou,Africa,Africa,5.416666667,5.416666667,-4.583333333,-4.583333333,adio1239,adio1239,adj,Niger-Congo,Niger-Congo,,Kwa,Kwa,Agneby,d009900,adj,adj,0,0,CI,CI,Herault-1978
gal,Galo,Galo,Eurasia,Eurasia,28.16666667,28.16666667,94.66666667,94.66666667,damu1236,galo1242,adi,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Tani,Tani,faa0000,adi,adl,0,0,IN,IN,Das-Gupta-1963
adg,Adang,Adang,Papunesia,Papunesia,-8.2,-8.2,124,124,adan1251,adan1251,adn,Timor-Alor-Pantar,Greater West Bomberai,,Timor-Alor-Pantar,Greater Alor,Alor-Pantar,tcccccc,adn,adn,0,0,ID,ID,Haan-2001
ada,Adamorobe Sign Language,Adamorobe Sign Language,Africa,Africa,5.833333333,5.833333333,-0.166666667,-0.166666667,adam1238,adam1238,ads,other,other,,,Sign Languages,Sign Languages,t99ffff,ads,ads,0,0,GH,GH,Frishberg-1987
adn,Adynyamathanha,Adynyamathanha,Australia,Australia,-30.5,-30.5,139.5,139.5,adny1235,adny1235,adt,Pama-Nyungan,Pama-Nyungan,,,Central Pama-Nyungan,Central Pama-Nyungan,tcccccc,adt,adt,0,0,AU,AU,Schebeck-1974
amd,Amdo,Amdo,Eurasia,Eurasia,35,35,100,100,amdo1237,amdo1237,adx,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Bodic,Bodic,fffff00,adx,adx,0,0,CN,CN,Sun-1993
amt,Amdo (Themchen),Amdo (Themchen),Eurasia,Eurasia,38,38,98,98,amdo1237,amdo1237,adx,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Bodic,Bodic,fffff00,adx,adx,0,0,NP,NP,Haller-2004
adt,Adyghe (Temirgoy),Adyghe (Temirgoy),Eurasia,Eurasia,45.21666667,45.21666667,39.7,39.7,adyg1241,adyg1241,ady,Northwest Caucasian,Northwest Caucasian,,,Northwest Caucasian,Northwest Caucasian,t0000dd,ady,ady,0,0,RU,RU,Kumaxov-1971 Rogava-and-Kerasheva-1966
ady,Adyghe (Abzakh),Adyghe (Abzakh),Eurasia,Eurasia,45.23333333,45.23333333,40.58333333,40.58333333,adyg1241,adyg1241,ady,Northwest Caucasian,Northwest Caucasian,,,Northwest Caucasian,Northwest Caucasian,t0000dd,ady,ady,0,0,RU,RU,Paris-1989
ash,Adyghe (Shapsugh),Adyghe (Shapsugh),Eurasia,Eurasia,45,45,38.75,38.75,adyg1241,adyg1241,ady,Northwest Caucasian,Northwest Caucasian,,,Northwest Caucasian,Northwest Caucasian,t0000dd,ady,ady,0,0,RU,RU,Smeets-1984
adz,Adzera,Adzera,Papunesia,Papunesia,-6.25,-6.25,146.25,146.25,adze1240,adze1240,adz,Austronesian,Austronesian,Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Oceanic,c0000dd,adz,adz,0,0,PG,PG,Holzknecht-1973 Holzknecht-1986
atu,Arabic (Tunisian),Arabic (Tunisian),Africa,Africa,36.75,36.75,10.25,10.25,tuni1259,tuni1259,aeb,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,aeb,aeb,0,0,TN,TN,Dahl-1985
lsa,Lengua de Señas Argentina,Lengua de Señas Argentina,South America,South America,-34,-34,-63,-63,arge1236,arge1236,aed,other,other,,,Sign Languages,Sign Languages,t99ffff,aed,aed,0,0,AR,AR,Veinberg-1993 Veinberg-nd
amp,Arrernte (Mparntwe),Arrernte (Mparntwe),Australia,Australia,-24,-24,136,136,east2379,east2379,aer,Pama-Nyungan,Pama-Nyungan,,,Central Pama-Nyungan,Central Pama-Nyungan,tcccccc,aer,aer,0,0,AU,AU,Henderson-1994 Henderson-and-Dobson-1999 Raimy-2000 Wilkins-1989
arr,Arrernte,Arrernte,Australia,Australia,-24,-24,134,134,,,,Pama-Nyungan,Pama-Nyungan,,,Central Pama-Nyungan,Central Pama-Nyungan,tcccccc,aer are,aer are,0,0,AU,AU,Stolz-1996
als,Alsea,Alsea,North America,North America,44.66666667,44.66666667,-123.9166667,-123.9166667,alse1251,alse1251,aes,Oregon Coast,Oregon Coast,,,Alsea,Alsea,t990099,aes,aes,0,0,US,US,Buckley-1987 Buckley-1989 Frachtenberg-1920
ame,Amele,Amele,Papunesia,Papunesia,-5.25,-5.25,145.5833333,145.5833333,amel1241,amel1241,aey,Trans-New Guinea,Trans-New Guinea,,Madang,Madang,Mabuso,cff6600,aey,aey,1,1,PG,PG,Nichols-1992 Roberts-1987 Roberts-1990 Roberts-1993
arg,Arabic (Gulf),Arabic (Gulf),Eurasia,Eurasia,26,26,49,49,gulf1241,gulf1241,afb,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,afb,afb,0,0,KW OM QA IR SA IQ BH,KW OM QA IR SA IQ BH,Holes-1990 Qafisheh-1977
arj,Arabic (Kuwaiti),Arabic (Kuwaiti),Eurasia,Eurasia,29.5,29.5,47.5,47.5,gulf1241,gulf1241,afb,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,afb,afb,0,0,KW,KW,
def,Defaka,Defaka,Africa,Africa,4.583333333,4.583333333,7.5,7.5,defa1248,defa1248,afn,Ijoid,Ijoid,,,Ijoid,Ijoid,dffffcc,afn,afn,0,0,NG,NG,Jenewari-1983
afr,Afrikaans,Afrikaans,Africa,Africa,-31,-31,22,22,afri1274,afri1274,afr,Indo-European,Indo-European,,,Germanic,Germanic,cff4400,afr,afr,0,0,ZA,ZA,Dahl-1985 Donaldson-1993 Malherbe-and-Rosenberg-1996 Potgieter-and-Potgieter-1932 Raidt-1991 den-Besten-1996
obk,Obokuitai,Obokuitai,Papunesia,Papunesia,-3,-3,138,138,obok1239,obok1239,afz,Lakes Plain,Lakes Plain,,,Lakes Plain,East Tariku,s99ffff,afz,afz,0,0,ID,ID,Scott-and-Jenison-1991
agb,Leggbó,Leggbó,Africa,Africa,6,6,8,8,legb1242,legb1242,agb,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Cross River,Upper Cross,f66ff33,agb,agb,0,0,NG,NG,
aga,Agarabi,Agarabi,Papunesia,Papunesia,-6.166666667,-6.166666667,146,146,agar1252,agar1252,agd,Trans-New Guinea,Trans-New Guinea,,Kainantu-Goroka,Eastern Highlands,Gauwa,c990099,agd,agd,0,0,PG,PG,Goddard-1967 Goddard-1976 Goddard-1980
ang,Anggor,Anggor,Papunesia,Papunesia,-3.75,-3.75,141.1666667,141.1666667,ango1254,ango1254,agg,Senagi,Senagi,,,Senagi,Senagi,daa0000,agg,agg,0,0,PG,PG,Litteral-1972 Litteral-1980
leb,Lebeo,Lebeo,Africa,Africa,1.75,1.75,25,25,ngel1238,ngel1238,agh,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Bantoid,Bantu,d0000dd,agh,agh,0,0,CD,CD,Gerard-1924
ant,Angaataha,Angaataha,Papunesia,Papunesia,-7.216666667,-7.216666667,146.25,146.25,anga1290,anga1290,agm,Trans-New Guinea,Trans-New Guinea,,,Angan,Angaataha,d99ffff,agm,agm,0,0,PG,PG,Huisman-1973 Huisman-and-Lloyd-1981 Huisman-et-al-1981
agh,Aghem,Aghem,Africa,Africa,6.666666667,6.666666667,10,10,aghe1239,aghe1239,agq,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Bantoid,Wide Grassfields,d0000dd,agq,agq,0,0,CM,CM,Anderson-1979 Hyman-1979 Watters-1979
agr,Aguaruna,Aguaruna,South America,South America,-5,-5,-78,-78,agua1253,agua1253,agr,Jivaroan,Jivaroan,,,Jivaroan,Jivaroan,ddd0000,agr,agr,0,0,PE,PE,Larsen-1963 Larson-1966 Wise-1999
agc,Agta (Central),Agta (Central),Papunesia,Papunesia,17.96666667,17.96666667,121.8333333,121.8333333,cent2084,cent2084,agt,Austronesian,Austronesian,,,Greater Central Philippine,Greater Central Philippine,cffffcc,agt,agt,0,0,PH,PH,Healey-1960
agu,Aguacatec,Aguacatec,North America,North America,15.41666667,15.41666667,-91.33333333,-91.33333333,agua1252,agua1252,agu,Mayan,Mayan,,,Mayan,Mayan,tff6600,agu,agu,0,0,GT,GT,McArthur-and-McArthur-1956 McArthur-and-McArthur-1966
agl,Aghul,Aghul,Eurasia,Eurasia,41.75,41.75,47.66666667,47.66666667,aghu1253,aghu1253,agx,Nakh-Daghestanian,Nakh-Daghestanian,Daghestanian,Daghestanian,Lezgic,Lezgic,cff6600,agx,agx,0,0,RU,RU,Boguslavskaja-1989 Magometov-1970 Merdanova-and-Daniel-2001 von-Erckert-1895
kem,Kemant,Kemant,Africa,Africa,12.66666667,12.66666667,37.41666667,37.41666667,qima1242,qima1242,ahg,Afro-Asiatic,Afro-Asiatic,Cushitic,Cushitic,Central Cushitic,Central Cushitic,c99ffff,ahg,ahg,0,0,ET,ET,Appleyard-1975 Appleyard-1984 Rossini-1912
ahu,Aghu,Aghu,Papunesia,Papunesia,-6.166666667,-6.166666667,140.1666667,140.1666667,aghu1255,aghu1255,ahh,Trans-New Guinea,Trans-New Guinea,,Awyu-Ok,Awju-Dumut,Awju,d009900,ahh,ahh,0,0,ID,ID,Drabbe-1957
akh,Akha,Akha,Eurasia,Eurasia,21.83333333,21.83333333,99.83333333,99.83333333,akha1245,akha1245,ahk,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Burmese-Lolo,Burmese-Lolo,f9999ff,ahk,ahk,0,0,CN TH MM,CN TH MM,Dellinger-1969 Hansson-2003 Thurgood-1986
aiz,Aizi,Aizi,Africa,Africa,5.25,5.25,-4.5,-4.5,apro1235,apro1235,ahp,Niger-Congo,Niger-Congo,,,Kru,Kru,d990099,ahp,ahp,0,0,CI,CI,Herault-1971
aht,Ahtna,Ahtna,North America,North America,62,62,-145,-145,ahte1237,ahte1237,aht,Na-Dene,Na-Dene,,,Athapaskan,Athapaskan,c99ffff,aht,aht,0,0,US,US,Kari-1990
aro,Arosi,Arosi,Papunesia,Papunesia,-10.25,-10.25,161.3333333,161.3333333,aros1241,aros1241,aia,Austronesian,Austronesian,Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Oceanic,c0000dd,aia,aia,0,0,SB,SB,Capell-1971 Fox-1978 Lynch-and-Horoi-2002
ayn,Aynu,Aynu,Eurasia,Eurasia,39.5,39.5,76,76,ainu1251,ainu1251,aib,Altaic,Altaic,,,Turkic,Turkic,d0000dd,aib,aib,0,0,CN,CN,Hayasi-et-al-1999
ama,Amara,Amara,Papunesia,Papunesia,-5.666666667,-5.666666667,148.5,148.5,amar1272,amar1272,aie,Austronesian,Austronesian,Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Oceanic,c0000dd,aie,aie,0,0,PG,PG,Thurston-1996
nsy,Neo-Aramaic (Assyrian),Neo-Aramaic (Assyrian),Eurasia,Eurasia,36,36,41,41,assy1241,assy1241,aii,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,aii,aii,0,0,SY,SY,Tsereteli-1978
naj,Neo-Aramaic (Arbel Jewish),Neo-Aramaic (Arbel Jewish),Eurasia,Eurasia,36.3833,36.3833,44,44,lish1245,lish1245,aij,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,aij,aij,0,0,IQ,IQ,Arsanis-1968 Khan-1999
ain,Ainu,Ainu,Eurasia,Eurasia,43,43,143,143,ainu1240,ainu1240,ain,,,,,,,cffcc00,ain,ain,0,1,JP,JP,Alpatov-et-al-2007 Dettmer-1989 Nichols-1992 Patrie-1982 Refsing-1986 Shibatani-1990 Simeon-1969 Tamura-1988 Tamura-2000
aar,Aari,Aari,Africa,Africa,6,6,36.58333333,36.58333333,aari1239,aari1239,aiw,Afro-Asiatic,Afro-Asiatic,Omotic,Omotic,South Omotic,South Omotic,ccccccc,aiw,aiw,0,0,ET,ET,Hayward-1990a
aja,Aja,Aja,Africa,Africa,7.333333333,7.333333333,25.66666667,25.66666667,ajas1235,ajas1235,aja,Central Sudanic,Central Sudanic,,,Kresh,Kresh,fff6600,aja,aja,0,0,CF SS,CF SS,Santandrea-1976
ajg,Ajagbe,Ajagbe,Africa,Africa,7,7,1.75,1.75,ajab1235,ajab1235,ajg,Niger-Congo,Niger-Congo,,Kwa,Kwa,Gbe,d009900,ajg,ajg,0,0,BJ TG,BJ TG,Tchitchi-1984
aji,Ajië,Ajië,Papunesia,Papunesia,-21.33333333,-21.33333333,165.5,165.5,ajie1238,ajie1238,aji,Austronesian,Austronesian,Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Oceanic,c0000dd,aji,aji,0,0,NC,NC,Lichtenberk-1978
apa,Arabic (Palestinian),Arabic (Palestinian),Eurasia,Eurasia,32,32,35.25,35.25,sout3123,sout3123,ajp,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,ajp,ajp,0,0,PS,PS,Abu-Salim-1980 Abu-Salim-1982 Brahme-1973 Brahme-1974 Kenstowicz-and-Abdul-Karim-1980 Shahin-1995
arv,Arabic (Negev),Arabic (Negev),Eurasia,Eurasia,30.5,30.5,34.75,34.75,sout3123,sout3123,ajp,Afro-Asiatic,Afro-Asiatic,,,Semitic,Semitic,cdd0000,ajp,ajp,0,0,IL,IL,Blanc-1971
akn,Akan,Akan,Africa,Africa,6.5,6.5,-1.25,-1.25,akan1250,akan1250,aka,Niger-Congo,Niger-Congo,,Kwa,Kwa,Tano,d009900,aka,aka,0,0,GH,GH,Balmer-and-Grant-1929 Christaller-1875 Dahl-1985 Dolphyne-1988 Ladefoged-1964 Obeng-2001 Redden-et-al-1963 Saah-and-Eze-1997 Schachter-and-Fromkin-1968 Stewart-1967 Welmers-1946
mpu,Mpur,Mpur,Papunesia,Papunesia,-0.75,-0.75,133.25,133.25,mpur1239,mpur1239,akc,West Papuan,West Papuan,,,Kebar,Kebar,sffffcc,akc,akc,0,0,ID,ID,Ode-2002
akw,Akawaio,Akawaio,South America,South America,6,6,-59.5,-59.5,akaw1239,akaw1239,ake,Cariban,Cariban,,,Cariban,Cariban,dffffff,ake,ake,0,0,GY,GY,Edwards-1978 Stefanowitsch-2002
akl,Aklanon,Aklanon,Papunesia,Papunesia,11.58333333,11.58333333,122.3333333,122.3333333,akla1241,akla1241,akl,Austronesian,Austronesian,,,Greater Central Philippine,Greater Central Philippine,cffffcc,akl,akl,0,0,PH,PH,Chai-1971
ark,Araki,Araki,Papunesia,Papunesia,-15.66666667,-15.66666667,166.9166667,166.9166667,arak1252,arak1252,akr,Austronesian,Austronesian,Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Oceanic,c0000dd,akr,akr,0,0,VU,VU,Francois-2002
axv,Akhvakh,Akhvakh,Eurasia,Eurasia,42.33333333,42.33333333,46.33333333,46.33333333,akhv1239,akhv1239,akv,Nakh-Daghestanian,Nakh-Daghestanian,Daghestanian,Daghestanian,Avar-Andic-Tsezic,Avar-Andic-Tsezic,cffcc00,akv,akv,0,0,RU,RU,Boguslavskaja-1989 Gudava-1964
awk,Akwa,Akwa,Africa,Africa,10.08333333,0,6.333333333,16.5,pong1250,akwa1248,png,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Kainji,Bantu,dffcc00,png,akw,0,0,NG,CG,Aksenova-and-Toporova-2002
akk,Aka-Kede,Aka-Kede,Eurasia,Eurasia,12.75,12.75,92.75,92.75,akak1252,akak1252,akx,Great Andamanese,Great Andamanese,,,Great Andamanese,Great Andamanese,tdd0000,akx,akx,0,0,IN,IN,Portman-1887b
abm,Alabama,Alabama,North America,North America,32.33333333,32.33333333,-87.41666667,-87.41666667,alab1237,alab1237,akz,Muskogean,Muskogean,,,Muskogean,Muskogean,c990099,akz,akz,0,0,US,US,Lupardus-1982 Rand-1968 Sylestine-et-al-1993 Sylestine-et-al-nd
qaw,Qawasqar,Qawasqar,South America,South America,-49,-49,-75,-75,qawa1238,qawa1238,alc,Alacalufan,Alacalufan,,,Alacalufan,Alacalufan,cffff00,alc,alc,0,1,CL,CL,Aguilera-1980 Beauvoir-1915 Clairis-1977 Clairis-1985 Perez-1988
ald,Alladian,Alladian,Africa,Africa,5.166666667,5.166666667,-4.333333333,-4.333333333,alla1248,alla1248,ald,Niger-Congo,Niger-Congo,,Kwa,Kwa,Avikam-Alladian,d009900,ald,ald,0,0,CI,CI,Dumestre-and-Duponchel-1971 Duponchel-1971
aea,Aleut (Eastern),Aleut (Eastern),North America,North America,54.75,54.75,-164,-164,aleu1260,aleu1260,ale,Eskimo-Aleut,Eskimo-Aleut,,,Aleut,Aleut,t66ff33,ale,ale,0,0,US,US,Bergsland-1956 Bergsland-1959 Bergsland-1994 Cho-et-al-1997 Golovko-2001 Jacobson-1944 Menovshchikov-1968 Rozelle-1997
ale,Aleut,Aleut,North America,North America,54,54,-166,-166,aleu1260,aleu1260,ale,Eskimo-Aleut,Eskimo-Aleut,,,Aleut,Aleut,t66ff33,ale,ale,0,0,US,US,Bergsland-1994 Bergsland-1997 Menovshchikov-1968
alw,Alawa,Alawa,Australia,Australia,-15.16666667,-15.16666667,134.25,134.25,alaw1244,alaw1244,alh,Mangarrayi-Maran,Mangarrayi-Maran,,,Alawa,Mara,sffffcc,alh,alh,0,0,AU,AU,Dahl-1985 Sharpe-1972
lrk,Larike,Larike,Papunesia,Papunesia,-3.75,-3.75,127.9166667,127.9166667,lari1255,lari1255,alo,Austronesian,Austronesian,,,Central Malayo-Polynesian,Central Malayo-Polynesian,t99ffff,alo,alo,0,0,ID,ID,Laidig-1992 Laidig-1993 Laidig-and-Laidig-1991 Laidig-and-Laidig-1995
aln,Alune,Alune,Papunesia,Papunesia,-3,-3,128.3333333,128.3333333,alun1238,alun1238,alp,Austronesian,Austronesian,,,Central Malayo-Polynesian,Central Malayo-Polynesian,t99ffff,alp,alp,0,0,ID,ID,Makaruku-et-al-1997 Niggemeyer-1951 Taguchi-and-Taguchi-1990
alg,Algonquin,Algonquin,North America,North America,46,46,-77,-77,algo1255,algo1255,alq,Algic,Algic,,,Algonquian,Algonquian,cffffff,alq,alq,0,0,CA,CA,Lemoine-1911
alu,Alutor,Alutor,Eurasia,Eurasia,61,61,165,165,alut1245,alut1245,alr,Chukotko-Kamchatkan,Chukotko-Kamchatkan,,,Northern Chukotko-Kamchatkan,Northern Chukotko-Kamchatkan,s009900,alr,alr,0,0,RU,RU,Kibrik-et-al-2000 Skorik-1986
aso,Altai (Southern),Altai (Southern),Eurasia,Eurasia,51,51,87,87,sout2694,sout2694,alt,Altaic,Altaic,,,Turkic,Turkic,d0000dd,alt,alt,0,0,RU,RU,Baskakov-1966c Baskakov-1997a Dyrenkova-1940
arx,'Are'are,'Are'are,Papunesia,Papunesia,-9.25,-9.25,161.1666667,161.1666667,area1240,area1240,alu,Austronesian,Austronesian,Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Oceanic,c0000dd,alu,alu,0,0,SB,SB,Geerts-1970
aly,Alyawarra,Alyawarra,Australia,Australia,-22.5,-22.5,135,135,alya1239,alya1239,aly,Pama-Nyungan,Pama-Nyungan,,,Central Pama-Nyungan,Central Pama-Nyungan,tcccccc,aly,aly,0,0,AU,AU,Bybee-et-al-1994 Fabricius-1998 Stolz-1996 Yallop-1977 Yallop-1992
amc,Amahuaca,Amahuaca,South America,South America,-10.5,-10.5,-72.5,-72.5,amah1246,amah1246,amc,Panoan,Pano-Tacanan,,,Panoan,Panoan,c0000dd,amc,amc,0,0,BR PE,BR PE,Hyde-1980 Osborn-1948 Russell-1975 Sparing-Chavez-1998
amu,Amuesha,Amuesha,South America,South America,-10.5,-10.5,-75.41666667,-75.41666667,yane1238,yane1238,ame,Arawakan,Arawakan,,,Yanesha',Yanesha',c0000dd,ame,ame,0,0,PE,PE,Duff-Tripp-1997 Fast-1953 Wise-1958 Wise-1978 Wise-1986 Wise-1990
