id,name,dbpedia_url
maw,Mampruli,
mfy,Mayo,http://dbpedia.org/resource/Mayo_language
maz,"Mazahua, Central",
mbb,"Manobo, Western Bukidnon",
mbc,Macushi,http://dbpedia.org/resource/Macushi_language
mbe,Molale,
mri,Maori,http://dbpedia.org/resource/M%C4%81ori_language
mbj,Nadëb,
mbl,Maxakalí,http://dbpedia.org/resource/Maxakal%C3%AD
mbn,Macaguán,http://dbpedia.org/resource/Macagu%C3%A1n_language
mbp,Malayo,
mbq,Maisin,http://dbpedia.org/resource/Maisin_language
mbr,Nukak Makú,http://dbpedia.org/resource/Nukak_language
mbt,"Manobo, Matigsalug",
mbw,Maring,
mca,Maka,http://dbpedia.org/resource/Mak%C3%A1_language
mcb,Machiguenga,
mcd,Sharanahua,
mcf,Matsés,http://dbpedia.org/resource/Mats%C3%A9s_language
mcg,Mapoyo,http://dbpedia.org/resource/Mapoyo_language
mch,Maquiritari,
mcm,Malaccan Creole Portuguese,http://dbpedia.org/resource/Kristang_language
mcn,Masana,http://dbpedia.org/resource/Massa_language
mco,"Mixe, Coatlán",http://dbpedia.org/resource/Coatl%C3%A1n_Mixe
mcp,Makaa,
mcr,Menya,
mda,Mada,
mdd,Mbum,
mde,Maba,
mdf,Moksha,http://dbpedia.org/resource/Moksha_language
mdh,Maguindanao,http://dbpedia.org/resource/Maguindanao_language
mdi,Mamvu,
mdj,Mangbetu,
gmm,Gbaya-Mbodomo,
mdq,Mbole,
mdt,Mbere,
mdx,Dizi,http://dbpedia.org/resource/Dizin_language
mdy,Male,http://dbpedia.org/resource/Male_language_%28Ethiopia%29
mec,Mara,
mei,Midob,
mej,Meyah,
mek,Mekeo,
mel,"Melanau, Central",http://dbpedia.org/resource/Melanau_language
mep,Miriwung,http://dbpedia.org/resource/Miriwoong_language
mas,Maasai,http://dbpedia.org/resource/Maasai_language
meu,Motu,http://dbpedia.org/resource/Motu_language
mev,Mann,
mey,Hassaniyya,http://dbpedia.org/resource/Hass%C4%81n%C4%ABya_Arabic
mez,Menominee,http://dbpedia.org/resource/Menominee_language
mfc,Mba,
mfe,Morisyen,http://dbpedia.org/resource/Mauritian_Creole
mfi,Wandala,
mfr,Marithiel,
mfv,Mandjak,
men,Mende,http://dbpedia.org/resource/Mende_language
mgd,Moru,
mgf,Maklew,
mgl,Maleu-Kilenge,http://dbpedia.org/resource/Maleu-Kilenge_language
mgp,"Magar, Eastern",http://dbpedia.org/resource/Magar_language
mgr,Mambwe-Lungu,
mgu,Mailu,http://dbpedia.org/resource/Mailu_language
mgw,Matumbi,http://dbpedia.org/resource/Kimatuumbi_language
mhd,Mbugu,http://dbpedia.org/resource/Mbugu_language
mhe,Mah Meri,
mhi,Ma'di,http://dbpedia.org/resource/Madi_language_%28Sudan_and_Uganda%29
mad,Madura,http://dbpedia.org/resource/Madurese_language
mhk,Mungaka,
mos,Mòoré,http://dbpedia.org/resource/M%C3%B2or%C3%A9_language
mdr,Mandar,http://dbpedia.org/resource/Mandar_language
mhq,Mandan,http://dbpedia.org/resource/Mandan_language
mhs,Buru,
mhu,Digaro-Mishmi,
mhv,Identifier mhv has been changed,
mhx,Lhao Vo,
mhy,Ma'anyan,
mhz,Mor,
mia,Miami,http://dbpedia.org/resource/Miami-Illinois_language
mib,"Mixtec, Atatláhuca",
mic,Micmac,http://dbpedia.org/resource/M%C3%ADkmaq_language
mid,Mandaic,http://dbpedia.org/resource/Neo-Mandaic
mie,"Mixtec, Ocotepec",
mif,Mofu-Gudur,http://dbpedia.org/resource/Mofu-Gudur_language
mig,"Mixtec, San Miguel el Grande",
mih,"Mixtec, Chayuco",
mik,Mikasuki,http://dbpedia.org/resource/Mikasuki_language
mil,"Mixtec, Peñoles",
mim,"Mixtec, Alacatlatzala",
mio,"Mixtec, Pinotepa Nacional",
miq,Mískito,http://dbpedia.org/resource/Miskito_language
miy,"Mixtec, Ayutla",
miz,"Mixtec, Coatzospan",
mjc,"Mixtec, San Juan Colorado",
glv,Manx,http://dbpedia.org/resource/Manx_language
mnc,Manchu,http://dbpedia.org/resource/Manchu_language
mjg,Tu,http://dbpedia.org/resource/Monguor_language
