pk,jsondata,id,name,description,markup_description,version
1,,1A,Consonant Inventories,,,1
2,,2A,Vowel Quality Inventories,,,1
3,,3A,Consonant-Vowel Ratio,,,1
4,,4A,Voicing in Plosives and Fricatives,,,1
5,,5A,Voicing and Gaps in Plosive Systems,,,1
6,,6A,Uvular Consonants,,,1
7,,7A,Glottalized Consonants,,,1
8,,8A,Lateral Consonants,,,1
9,,9A,The Velar Nasal,,,1
10,,10A,Vowel Nasalization,,,1
11,,11A,Front Rounded Vowels,,,1
12,,12A,Syllable Structure,,,1
13,,13A,Tone,,,1
14,,14A,Fixed Stress Locations,,,1
15,,15A,Weight-Sensitive Stress,,,1
16,,16A,Weight Factors in Weight-Sensitive Stress Systems,,,1
77,,77A,Semantic Distinctions of Evidentiality,,,1
78,,78A,Coding of Evidentiality,,,1
79,,79A,Suppletion According to Tense and Aspect,,,1
80,,80A,Verbal Number and Suppletion,,,1
84,,84A,"Order of Object, Oblique, and Verb",,,1
85,,85A,Order of Adposition and Noun Phrase,,,1
89,,89A,Order of Numeral and Noun,,,1
90,,90A,Order of Relative Clause and Noun,,,1
94,,94A,Order of Adverbial Subordinator and Clause,,,1
95,,95A,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,,,1
96,,96A,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,,,1
97,,97A,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,,,1
98,,98A,Alignment of Case Marking of Full Noun Phrases,,,1
99,,99A,Alignment of Case Marking of Pronouns,,,1
105,,105A,Ditransitive Constructions: The Verb 'Give',,,1
106,,106A,Reciprocal Constructions,,,1
108,,108A,Antipassive Constructions,,,1
109,,109A,Applicative Constructions,,,1
110,,110A,Periphrastic Causative Constructions,,,1
111,,111A,Nonperiphrastic Causative Constructions,,,1
151,,144X,Verb-Initial with Clause-Final Negative,,,1
153,,90G,Double-headed relative clauses,,,1
154,,90E,Correlative relative clauses,,,1
155,,144V,Verb-Initial with Preverbal Negative,,,1
157,,144R,SONegV Order,,,1
158,,143B,Obligatory Double Negation,,,1
159,,144M,Multiple Negative Constructions in SOV Languages,,,1
160,,144U,Double negation in verb-initial languages,,,1
161,,144G,Optional Double Negation in SVO languages,,,1
164,,144F,Obligatory Double Negation in SVO languages,,,1
165,,90D,Internally-headed relative clauses,,,1
166,,144E,Multiple Negative Constructions in SVO Languages,,,1
17,,17A,Rhythm Types,,,1
18,,18A,Absence of Common Consonants,,,1
19,,19A,Presence of Uncommon Consonants,,,1
20,,20A,Fusion of Selected Inflectional Formatives,,,1
21,,21A,Exponence of Selected Inflectional Formatives,,,1
22,,22A,Inflectional Synthesis of the Verb,,,1
23,,23A,Locus of Marking in the Clause,,,1
24,,24A,Locus of Marking in Possessive Noun Phrases,,,1
25,,25A,Locus of Marking: Whole-language Typology,,,1
26,,26A,Prefixing vs. Suffixing in Inflectional Morphology,,,1
28,,28A,Case Syncretism,,,1
29,,29A,Syncretism in Verbal Person/Number Marking,,,1
30,,30A,Number of Genders,,,1
31,,31A,Sex-based and Non-sex-based Gender Systems,,,1
32,,32A,Systems of Gender Assignment,,,1
33,,33A,Coding of Nominal Plurality,,,1
34,,34A,Occurrence of Nominal Plurality,,,1
35,,35A,Plurality in Independent Personal Pronouns,,,1
36,,36A,The Associative Plural,,,1
38,,38A,Indefinite Articles,,,1
39,,39A,Inclusive/Exclusive Distinction in Independent Pronouns,,,1
40,,40A,Inclusive/Exclusive Distinction in Verbal Inflection,,,1
41,,41A,Distance Contrasts in Demonstratives,,,1
42,,42A,Pronominal and Adnominal Demonstratives,,,1
43,,43A,Third Person Pronouns and Demonstratives,,,1
45,,45A,Politeness Distinctions in Pronouns,,,1
46,,46A,Indefinite Pronouns,,,1
47,,47A,Intensifiers and Reflexive Pronouns,,,1
51,,51A,Position of Case Affixes,,,1
52,,52A,Comitatives and Instrumentals,,,1
53,,53A,Ordinal Numerals,,,1
54,,54A,Distributive Numerals,,,1
55,,55A,Numeral Classifiers,,,1
56,,56A,Conjunctions and Universal Quantifiers,,,1
60,,60A,"Genitives, Adjectives and Relative Clauses",,,1
61,,61A,Adjectives without Nouns,,,1
62,,62A,Action Nominal Constructions,,,1
64,,64A,Nominal and Verbal Conjunction,,,1
65,,65A,Perfective/Imperfective Aspect,,,1
66,,66A,The Past Tense,,,1
67,,67A,The Future Tense,,,1
68,,68A,The Perfect,,,1
69,,69A,Position of Tense-Aspect Affixes,,,1
73,,73A,The Optative,,,1
112,,112A,Negative Morphemes,,,1
113,,113A,Symmetric and Asymmetric Standard Negation,,,1
114,,114A,Subtypes of Asymmetric Standard Negation,,,1
115,,115A,Negative Indefinite Pronouns and Predicate Negation,,,1
118,,118A,Predicative Adjectives,,,1
119,,119A,Nominal and Locational Predication,,,1
120,,120A,Zero Copula for Predicate Nominals,,,1
122,,122A,Relativization on Subjects,,,1
123,,123A,Relativization on Obliques,,,1
124,,124A,'Want' Complement Subjects,,,1
129,,129A,Hand and Arm,,,1
130,,130A,Finger and Hand,,,1
132,,132A,Number of Non-Derived Basic Colour Categories,,,1
133,,133A,Number of Basic Colour Categories,,,1
134,,134A,Green and Blue,,,1
135,,135A,Red and Yellow,,,1
138,,138A,Tea,,,1
139,,139A,Irregular Negatives in Sign Languages,,,1
140,,140A,Question Particles in Sign Languages,,,1
141,,141A,Writing Systems,,,1
142,,142A,Para-Linguistic Usages of Clicks,,,1
144,,90B,Prenominal relative clauses,,,1
145,,144Y,The Position of Negative Morphemes in Object-Initial Languages,,,1
146,,90C,Postnominal relative clauses,,,1
147,,144P,NegSOV Order,,,1
149,,144N,Obligatory Double Negation in SOV languages,,,1
150,,144S,SOVNeg Order,,,1
131,,131A,Numeral Bases,,,2
168,,81B,"Languages with two Dominant Orders of Subject, Object, and Verb",,,1
170,,143C,Optional Double Negation,,,1
