pk,jsondata,id,name,description,markup_description,latitude,longitude,version
1815,,seb,Sebei,,,1.33333333333,34.5833333333,1
1886,,acl,Acholi,,,3,32.6666666667,1
1887,,adk,Andoke,,,-0.666666666667,-72,1
1889,,chi,Chimariko,,,41,-123,1
1963,,ses,Sesotho,,,-28,27,1
1964,,sio,Sio,,,-5.95,147.333333333,1
1965,,twe,Tarahumara (Western),,,27.5,-108,1
1966,,tic,Ticuna,,,-4,-70.5,1
2038,,brn,Burunge,,,-5.33333333333,36,1
2039,,ccm,Chinantec (Comaltepec),,,17.5833333333,-96.4166666667,1
2040,,ctm,Chitimacha,,,29.6666666667,-91,1
2114,,kmb,Kombai,,,-5.58333333333,140,1
2115,,lon,Loniu,,,-2.06666666667,147.333333333,1
2116,,mde,Mende,,,7.83333333333,-11.5,1
2190,,kos,Kosraean,,,5.3,163,1
2191,,nuu,Nuuchahnulth,,,49.6666666667,-126.666666667,1
2192,,oss,Ossetic,,,43,44,1
2266,,bsk,Bashkir,,,53,58,1
2267,,mlk,Malakmalak,,,-13.4166666667,130.416666667,1
2268,,mns,Mansi,,,62,62,1
2344,,chv,Chuvash,,,55.5,47.5,1
2345,,dut,Dutch,,,52.5,6,1
2419,,cmn,Comanche,,,33.5,-101.5,1
2495,,ngi,Ngiyambaa,,,-31.75,145.5,1
2496,,brm,Burmese,,,21,96,1
2497,,kro,Krongo,,,10.5,30,1
2570,,wkw,Wagawaga,,,-26.5,152.5,1
2571,,wgg,Wangkangurru,,,-27,137,1
2572,,wbt,Wanman,,,-22,123,1
2573,,wru,Warumungu,,,-19.5,134.5,1
1974,,au,Au,,,-3.58333333333,142.083333333,1
6,,akc,Aka-Cari,,,13.5,93,1
7,,akk,Aka-Kede,,,12.75,92.75,1
10,,alt,Alsatian,,,48.5,7.5,1
11,,anx,Andi,,,42.75,46.25,1
12,,abh,Arabic (Bahrain),,,26,50.5,1
13,,arn,Arabic (Borno Nigerian),,,8.58333333333,12.4166666667,1
14,,akm,Arakanese (Marma),,,21.5,92.5,1
15,,ard,Arandai,,,-2.08333333333,133,1
16,,arz,Armenian (Iranian),,,32.6666666667,51.6666666667,1
17,,arr,Arrernte,,,-24,134,1
18,,ast,Asturian,,,43.25,-6,1
19,,aul,Aulua,,,-16.3333333333,167.666666667,1
20,,auy,Auyana,,,-6.5,145.75,1
21,,avt,Avatime,,,6.83333333333,0.416666666667,1
22,,ayn,Aynu,,,39.5,76,1
23,,bdg,Badaga,,,11.6666666667,76.75,1
24,,bgi,Bagri,,,29.5833333333,74.3333333333,1
27,,bmn,Bamun,,,5.5,10.9166666667,1
28,,ban,Bana,,,10.4166666667,13.5833333333,1
29,,bnd,Bandi,,,8.08333333333,-10.25,1
30,,brl,Baragaunle,,,28.8333333333,83.8333333333,1
32,,bth,Bathari,,,18,56,1
33,,bou,Berber (Wargla),,,31.9166666667,5.33333333333,1
34,,bfd,Biafada,,,11.4166666667,-15.1666666667,1
35,,bit,Biatah,,,1.25,110,1
37,,bos,Bosnian,,,43,18,1
38,,bru,Bru (Eastern),,,17.3333333333,106,1
39,,buy,Buli (in Ghana),,,10.5,-1.25,1
40,,bpa,Bura-Pabir,,,10.5,12.25,1
