language_id,altname_name,altname_type,relation
egn,Engenni,ruhlen,
bnn,Banoni,ruhlen,
ard,Arandai,ruhlen,
ktk,Kotoko,ruhlen,
klw,Kiliwa,ruhlen,
irx,Iranshe,ruhlen,
mnm,Manam,ruhlen,
non,Noni,ruhlen,
pil,Pileni,ruhlen,
cav,Cavineña,ruhlen,
koa,Koasati,ruhlen,
ktu,Katu,ruhlen,
tpr,Tupuri,ruhlen,
sil,Sila,ruhlen,
nbk,Santa Cruz,ruhlen,
mra,Mara,ruhlen,
nmd,Nomad,ruhlen,
cur,Curripaco,ruhlen,
arx,'Are'are,ruhlen,
shs,Shasta,ruhlen,
hix,Hishkariana,ruhlen,
tid,Tidore,ruhlen,
lbu,Ruund,ruhlen,
tkl,Takelma,ruhlen,
sgb,Mantion,ruhlen,
avt,Avatime,ruhlen,
knp,Kanum,ruhlen,
knb,Kanum,ruhlen,
win,Wintun,ruhlen,
swt,Swati,ruhlen,
mor,Mor,ruhlen,
wir,Wirangu,ruhlen,
teh,Tehuelche,ruhlen,
nya,Nyawaygi,ruhlen,
rag,Raga,ruhlen,
lug,Logbara,ruhlen,
tai,Tamahaq,ruhlen,
tug,Tamahaq,ruhlen,
sim,Simeulue,ruhlen,
baq,Baure,ruhlen,
sul,Sulka,ruhlen,
coa,Coahuiltec,ruhlen,
gok,Gokana,ruhlen,
bhu,Mundari,ruhlen,
mun,Mundari,ruhlen,
slv,Slavey,ruhlen,
ord,Ordos,ruhlen,
ndo,Ndonga,ruhlen,
pmn,Pomo (Northern),ruhlen,
far,Faroese,ruhlen,
ang,Anggor,ruhlen,
atk,Atakapa,ruhlen,
kla,Klau,ruhlen,
idu,Midu,ruhlen,
mis,Miskito,ruhlen,
tsi,Tsimshian,ruhlen,
sum,Sumo,ruhlen,
mon,Mon,ruhlen,
cde,Ye'cuana,ruhlen,
kui,Kui,ruhlen,
kiu,Kui,ruhlen,
moj,Mohave,ruhlen,
grn,Gurenne,ruhlen,
ngg,Ngenkikurrunggur,ruhlen,
ngk,Ngenkikurrunggur,ruhlen,
rgn,Raglai (North),ruhlen,
ijo,Kolokuma,ruhlen,
tye,Dyeraidy,ruhlen,
ngt,Tangkhul,ruhlen,
khk,Khakas,ruhlen,
tza,Tzeltal,ruhlen,
tzb,Tzeltal,ruhlen,
tzt,Tzeltal,ruhlen,
tze,Tzeltal,ruhlen,
saa,Sa'a,ruhlen,
thd,Thado,ruhlen,
krb,Gilbertese,ruhlen,
dmi,Dumi,ruhlen,
gum,Gumbayunggir,ruhlen,
ctm,Chitimacha,ruhlen,
cec,Chicomukeltec,ruhlen,
krg,Karanga,ruhlen,
ksa,Keres (Eastern),ruhlen,
oji,Ojibwa,ruhlen,
cpw,Ojibwa,ruhlen,
urk,Urubu,ruhlen,
isn,Isnag,ruhlen,
max,Mashakali,ruhlen,
oca,Ocaina,ruhlen,
ilo,Ilokano,ruhlen,
brk,Berik,ruhlen,
bbu,Barambo,ruhlen,
wan,Wangkumara,ruhlen,
nyn,Nyigina,ruhlen,
prh,Mura,ruhlen,
thu,Thulung,ruhlen,
kmp,Kunimaipa,ruhlen,
wiy,Wiyot,ruhlen,
lla,Lama-Lama,ruhlen,
paa,Pa'a,ruhlen,
amk,Amarakaeri,ruhlen,
sea,Southeast Ambrym,ruhlen,
cyg,Cayuga,ruhlen,
lov,Loven,ruhlen,
yrm,Yurimangui,ruhlen,
snm,Sanuma,ruhlen,
yuc,Yuchi,ruhlen,
mwo,Motlav,ruhlen,
cof,Cofan,ruhlen,
tpn,Tepehuan (Northern),ruhlen,
dsh,Danish,ruhlen,
dab,Daba,ruhlen,
otm,Otomi,ruhlen,
osm,Otomi,ruhlen,
oix,Otomi,ruhlen,
ben,Bengali,ruhlen,
bec,Bengali,ruhlen,
shp,Sahaptin,ruhlen,
smt,Sahaptin,ruhlen,
