name,type
Balangaw,ruhlen
Balant,ruhlen
Balantak,ruhlen
Balendru,ruhlen
Bali,ruhlen
Baluchi,ruhlen
Bambara,ruhlen
Bambui,ruhlen
Bamun,ruhlen
Bana,ruhlen
Banawa,ruhlen
Bandi,ruhlen
Bandjalang,ruhlen
Banggai,ruhlen
Banggarla,ruhlen
Baniva,ruhlen
Banjari,ruhlen
Bankon,ruhlen
Banoni,ruhlen
Bantik,ruhlen
Barai,ruhlen
Barambo,ruhlen
Barasano (Northern),ruhlen
Barasano (Southern),ruhlen
Bare,ruhlen
Bari,ruhlen
Bariba,ruhlen
Baruya,ruhlen
Basaa,ruhlen
Basari,ruhlen
Bashkarik,ruhlen
Bashkir,ruhlen
Basque,ruhlen
Batak,ruhlen
Bats,ruhlen
Bau,ruhlen
Baule,ruhlen
Baure,ruhlen
Bauzi,ruhlen
Bayso,ruhlen
Beami,ruhlen
Bega,ruhlen
Beja,ruhlen
Bella Coola,ruhlen
Bemba,ruhlen
Bembe (CK if same Bembe),ruhlen
Benabena,ruhlen
Bencho,ruhlen
Benga,ruhlen
Bengali,ruhlen
Beo,ruhlen
Beothuk,ruhlen
Berik,ruhlen
Berta,ruhlen
Bete,ruhlen
Betoi,ruhlen
Bezhta,ruhlen
Bhili,ruhlen
Bhojpuri,ruhlen
Biafada,ruhlen
Biak,ruhlen
Biatah,ruhlen
Bidiyo,ruhlen
Bilaan (Cotabato),ruhlen
Bilaan (Sarangani),ruhlen
Bileki,ruhlen
Bilin,ruhlen
Biloxi,ruhlen
Bilua,ruhlen
Bima,ruhlen
Binandere,ruhlen
Bini,ruhlen
Binukid,ruhlen
Binumarien,ruhlen
Bira,ruhlen
Biri,ruhlen
Birom,ruhlen
Bisa,ruhlen
Bislama,ruhlen
Bisu,ruhlen
Blackfoot,ruhlen
Boazi,ruhlen
Bobangi,ruhlen
Bobo-Fing,ruhlen
Bodo,ruhlen
Boiken,ruhlen
Bole,ruhlen
Bongo,ruhlen
Bongu,ruhlen
Bontok (Central),ruhlen
Bora,ruhlen
Boro (Omotic),ruhlen
Bororo,ruhlen
Borunca,ruhlen
Bozo,ruhlen
Brahui,ruhlen
Brao,ruhlen
Brat,ruhlen
Breton,ruhlen
Bribri,ruhlen
Bru,ruhlen
Bubi,ruhlen
Buduma,ruhlen
Budux,ruhlen
Bugis,ruhlen
Buglere,ruhlen
Buin,ruhlen
Bukar Sadong,ruhlen
Bulgarian,ruhlen
Buli,ruhlen
Bulu,ruhlen
Buma,ruhlen
Bunaba,ruhlen
Bunan,ruhlen
Bura,ruhlen
Burarra,ruhlen
Buriat,ruhlen
Burji,ruhlen
Burmese,ruhlen
Buru,ruhlen
Burum,ruhlen
Burunge,ruhlen
Burushaski,ruhlen
Busa,ruhlen
Bushong,ruhlen
Bwe,ruhlen
Byangsi,ruhlen
Byelorussian,ruhlen
Cabecar,ruhlen
Cacua,ruhlen
Caddo,ruhlen
Cagaba,ruhlen
Cahuilla,ruhlen
Cakchiquel,ruhlen
Cambodian,ruhlen
Camsa,ruhlen
Canadian Inuit,ruhlen
Canamari,ruhlen
Candoshi,ruhlen
Canela,ruhlen
Cantonese,ruhlen
Capanahua,ruhlen
Carapana,ruhlen
Carijona,ruhlen
Carolinian,ruhlen
Carrier,ruhlen
Cashibo,ruhlen
Cashinahua,ruhlen
Catalan,ruhlen
Catawba,ruhlen
Cavineña,ruhlen
Cayapa,ruhlen
Cayapo,ruhlen
Cayuga,ruhlen
Cayuvava,ruhlen
Cebuano,ruhlen
Cemuhi,ruhlen
Central Teke,ruhlen
Central Tibetan,ruhlen
Ch'iang,ruhlen
Chacobo,ruhlen
Chaga,ruhlen
Chakosi,ruhlen
Cham (East),ruhlen
Cham (West),ruhlen
Chamalal,ruhlen
Chamba,ruhlen
Chambri,ruhlen
Chami,ruhlen
Chamorro,ruhlen
Chang,ruhlen
Chatino,ruhlen
Chaudangsi,ruhlen
Chavacano,ruhlen
Chavante,ruhlen
Chayahuita,ruhlen
Chechen,ruhlen
Chehalis (Upper),ruhlen
Chemakum,ruhlen
Chemehuevi,ruhlen
Chepang,ruhlen
Cherokee,ruhlen
Cheyenne,ruhlen
Chibcha,ruhlen
Chichimeca,ruhlen
Chicomukeltec,ruhlen
Chimane,ruhlen
Chimariko,ruhlen
Chimbu,ruhlen
Chimila,ruhlen
Chimu,ruhlen
Chinantec,ruhlen
Chinook (Lower),ruhlen
Chinook (Upper),ruhlen
Chipewyan,ruhlen
Chiquito,ruhlen
Chitimacha,ruhlen
Chiwere,ruhlen
Chocho,ruhlen
Choctaw,ruhlen
Chol,ruhlen
Cholona,ruhlen
Chontal,ruhlen
Chorote,ruhlen
Chorti,ruhlen
Chrau,ruhlen
Chru,ruhlen
Chuave,ruhlen
Chuj,ruhlen
Chukchi,ruhlen
Chulupi,ruhlen
Chulym,ruhlen
Chumash,ruhlen
Chutiya,ruhlen
Chuvash,ruhlen
Clallam,ruhlen
Coahuiltec,ruhlen
Cocama,ruhlen
Cocopa,ruhlen
Coeur d'Alene,ruhlen
Cofan,ruhlen
Colorado,ruhlen
Columbian,ruhlen
Comanche,ruhlen
Comecrudo,ruhlen
Comox,ruhlen
Coos,ruhlen
Coptic,ruhlen
Cora,ruhlen
Coreguaje,ruhlen
Cornish,ruhlen
Cree,ruhlen
Crimean Turkish,ruhlen
Crioulo,ruhlen
Crow,ruhlen
Cua,ruhlen
Cuaiquer,ruhlen
Cubeo,ruhlen
Cuiba,ruhlen
Cuica,ruhlen
Cuicatec,ruhlen
Cuitlatec,ruhlen
Culina,ruhlen
Cuna,ruhlen
Cupeño,ruhlen
Curripaco,ruhlen
Czech,ruhlen
Daba,ruhlen
Dadibi,ruhlen
Daga,ruhlen
Dagara,ruhlen
Dagbani,ruhlen
Dagur,ruhlen
Dahalo,ruhlen
Dakota,ruhlen
Dan,ruhlen
Dangla,ruhlen
Dani (Grand Valley),ruhlen
Danish,ruhlen
Darambal,ruhlen
Dargwa,ruhlen
Darmiya,ruhlen
Dasenech,ruhlen
Datooga,ruhlen
Day,ruhlen
Dayãyo,ruhlen
Defaka,ruhlen
Degema,ruhlen
Dehu,ruhlen
Deni,ruhlen
Dera,ruhlen
Desano,ruhlen
Deti,ruhlen
Dhangu,ruhlen
Dharawal,ruhlen
Dhimal,ruhlen
Dhurga,ruhlen
Dhuwal,ruhlen
Di,ruhlen
Dida,ruhlen
Dido,ruhlen
Diegueño,ruhlen
Digaro,ruhlen
Dimasa,ruhlen
Dime,ruhlen
Diola,ruhlen
Diyari,ruhlen
Dizi,ruhlen
Djamindjung,ruhlen
Djaru,ruhlen
Djinang,ruhlen
Djingili,ruhlen
Djuka,ruhlen
Dobel,ruhlen
Dogon,ruhlen
Dogri,ruhlen
Dolgan,ruhlen
Dongo,ruhlen
Dongolawi,ruhlen
Dschang,ruhlen
Duala,ruhlen
Dubea,ruhlen
Duka,ruhlen
Duma,ruhlen
Dumagat (Casiguran),ruhlen
Dumaki,ruhlen
Dumi,ruhlen
Duna,ruhlen
Duru,ruhlen
Dutch,ruhlen
Dutch Creole,ruhlen
Dyaabugay,ruhlen
Dyeraidy,ruhlen
Dyimini,ruhlen
Dyirbal,ruhlen
Dyula,ruhlen
Eastern Arabic,ruhlen
Ebira,ruhlen
Efate (North),ruhlen
Efik,ruhlen
Eipo,ruhlen
Ejagham,ruhlen
Ekagi,ruhlen
Emai,ruhlen
Embera,ruhlen
Enets,ruhlen
Enga,ruhlen
Engenni,ruhlen
Enggano,ruhlen
English,ruhlen
Enindhilyagwa,ruhlen
Enya,ruhlen
Ese'ejja,ruhlen
Esmeralda,ruhlen
Esselen,ruhlen
Estonian,ruhlen
Even,ruhlen
Evenki,ruhlen
Ewe,ruhlen
Ewondo,ruhlen
Eyak,ruhlen
Falor,ruhlen
Faroese,ruhlen
Farsi,ruhlen
Fasu,ruhlen
Fe'fe,ruhlen
Fijian,ruhlen
Finnish,ruhlen
Foe,ruhlen
Fon,ruhlen
Fore,ruhlen
Fox,ruhlen
French,ruhlen
French Creole,ruhlen
Frisian,ruhlen
Fula,ruhlen
Fulani,ruhlen
Fulnio,ruhlen
Fur,ruhlen
Furu,ruhlen
Futuna-Aniwa,ruhlen
Fwai,ruhlen
Fyam,ruhlen
Gã,ruhlen
Ga'anda,ruhlen
Gaam,ruhlen
Gade,ruhlen
Gadsup,ruhlen
Gaelic,ruhlen
Gagauz,ruhlen
Gagudju,ruhlen
Gahuku,ruhlen
Galela,ruhlen
Galibi,ruhlen
Galician,ruhlen
Gambai,ruhlen
Gamilaraay,ruhlen
Gapapaiwa,ruhlen
Gapun,ruhlen
Garadyari,ruhlen
Garawa,ruhlen
Garo,ruhlen
Garus,ruhlen
Gavião,ruhlen
Gawwada,ruhlen
Gayardilt,ruhlen
Gayo,ruhlen
Gbaya,ruhlen
Gela,ruhlen
Gelao,ruhlen
Gele,ruhlen
Georgian,ruhlen
German,ruhlen
Ghadames,ruhlen
Ghotuo,ruhlen
Gidar,ruhlen
Gilaki,ruhlen
Gilbertese,ruhlen
Gilyak,ruhlen
Giri,ruhlen
Gisiga,ruhlen
Goajiro,ruhlen
Godie,ruhlen
Godoberi,ruhlen
Goemai,ruhlen
Gogodala,ruhlen
Gokana,ruhlen
Gola,ruhlen
Gold,ruhlen
Goliath,ruhlen
Gondi,ruhlen
Gorani,ruhlen
Gorontalo,ruhlen
Grebo,ruhlen
Greek,ruhlen
Greenlandic,ruhlen
Guahibo,ruhlen
Guajajara,ruhlen
Guambiano,ruhlen
Guana,ruhlen
Guanano,ruhlen
Guaque,ruhlen
Guarani,ruhlen
Guarequena,ruhlen
Guarijío,ruhlen
Guato,ruhlen
Guayabero,ruhlen
Guayaki,ruhlen
Guaymi,ruhlen
Gude,ruhlen
Guduf,ruhlen
Guere,ruhlen
Gugu Yalandyi,ruhlen
Guhu-Semane,ruhlen
Gujarati,ruhlen
Gula,ruhlen
Gumasi,ruhlen
Gumbayunggir,ruhlen
Guniyan,ruhlen
Gunwinygu,ruhlen
Gurage (Central West),ruhlen
Guragone,ruhlen
Gureng Gureng,ruhlen
Gurenne,ruhlen
Gurindji,ruhlen
Gurma,ruhlen
Gurung,ruhlen
Gusii,ruhlen
Gutob,ruhlen
Guugu Yimidhirr,ruhlen
Gwari,ruhlen
Gyarung,ruhlen
Hadza,ruhlen
Haida,ruhlen
Haisla,ruhlen
Haka,ruhlen
Halang,ruhlen
Halia,ruhlen
Halkomelem,ruhlen
Hamar,ruhlen
Hamtai,ruhlen
Hani,ruhlen
Hanunoo,ruhlen
Harari,ruhlen
Hattam,ruhlen
Hausa,ruhlen
Havasupai,ruhlen
Hawaiian,ruhlen
Hawaiian Creole,ruhlen
Haya,ruhlen
Hebrew,ruhlen
Hehe,ruhlen
Heiltsuk,ruhlen
Hemba,ruhlen
Herero,ruhlen
Hianacoto,ruhlen
Hidatsa,ruhlen
Hiligaynon,ruhlen
Hindi,ruhlen
Hinux,ruhlen
Hishkariana,ruhlen
Hmar,ruhlen
Ho,ruhlen
Hoava,ruhlen
Holoholo,ruhlen
Hopi,ruhlen
Hrê,ruhlen
Huambisa,ruhlen
Huari,ruhlen
Huastec,ruhlen
Huave,ruhlen
Huichol,ruhlen
Huihui,ruhlen
Hunde,ruhlen
Hungarian,ruhlen
Hunzib,ruhlen
Hupa,ruhlen
Hupda,ruhlen
Huron,ruhlen
Iaai,ruhlen
Iatmul,ruhlen
Iban,ruhlen
Ibanag,ruhlen
Ibibio,ruhlen
Ica,ruhlen
Icelandic,ruhlen
Ida'an,ruhlen
