id,name,gbs_id
Alphonse-1956,Alphonse 1956,
Alton-1968,Alton 1968,
Alwi-et-al-1998,Alwi et al. 1998,
Amaral-et-al-1994,Amaral et al. 1994,
Amborn-et-al-1980,Amborn et al. 1980,
Ambrazas-1997,Ambrazas 1997,
Ambrazas-et-al-1966,Ambrazas et al. 1966,
Ameka-1991,Ameka 1991,
Ameka-1994,Ameka 1994,
Ameka-2001,Ameka 2001,
Amery-and-Simpson-1999,Amery and Simpson 1999,
Amha-2001,Amha 2001,
Ammann-nd,Ammann n.d.,
Amritavalli-2000,Amritavalli 2000,GRAWRpyqRusC
Amzorov-1992,Amzorov 1992,
Anceaux-1952,Anceaux 1952,
Anceaux-1965,Anceaux 1965,
Anceaux-and-Grimes-1995,Anceaux and Grimes 1995,
Andersen-1980,Andersen 1980,
Andersen-1984,Andersen 1984,
Andersen-1986,Andersen 1986,
Andersen-1987,Andersen 1987,
Andersen-1988,Andersen 1988,
Andersen-1991,Andersen 1991,
Andersen-1995,Andersen 1995,
Andersen-2000,Andersen 2000,
Anderson-1897,Anderson 1897,
Anderson-1959,Anderson 1959,
Anderson-1962,Anderson 1962,
Anderson-1963,Anderson 1963,
Anderson-1975,Anderson 1975,
Anderson-1979,Anderson 1979,
Anderson-1980,Anderson 1980,
Anderson-1984,Anderson 1984,
Anderson-1986,Anderson 1986,
Anderson-1989,Anderson 1989,
Anderson-1997a,Anderson 1997a,
Anderson-1997b,Anderson 1997b,
Anderson-1998,Anderson 1998,
Anderson-2001,Anderson 2001,
Anderson-and-Harrison-1999,Anderson and Harrison 1999,
Anderson-and-Hendrick-1990,Anderson and Hendrick 1990,
Anderson-and-Maddieson-1994,Anderson and Maddieson 1994,
Anderson-and-Roque-1983,Anderson and Roque 1983,
Anderson-and-Ross-2002,Anderson and Ross 2002,xG1Q0alrpq8C
Anderson-and-Wise-1963,Anderson and Wise 1963,
Anderson-et-al-1990,Anderson et al. 1990,
Anderton-1989,Anderton 1989,
Andrade-1931,Andrade 1931,
Andrade-1933,Andrade 1933,
Andrade-1953,Andrade 1953,
Andreasen-and-Dahl-1998,Andreasen and Dahl 1998,
Andreev-1966,Andreev 1966,
Andreev-1992,Andreev 1992,
Andreev-1997,Andreev 1997,
Andronov-1980,Andronov 1980,
Andronov-1996,Andronov 1996,
Andronov-2001,Andronov 2001,
Andrzejewsky-1955,Andrzejewsky 1955,
Andrzejewsky-1956,Andrzejewsky 1956,
Andres-et-al-1996,Andrés et al. 1996,
Andvik-2003,Andvik 2003,5MeWSTQ7F44C
Annamalai-2000,Annamalai 2000,GRAWRpyqRusC
Annamalai-and-Steever-1998,Annamalai and Steever 1998,CF5Qo4NDE64C
Anonymous-1,Anonymous 1,
Anonymous-2,Anonymous 2,
Anonymous-3,Anonymous 3,
Anonymous-4,Anonymous 4,
Anonymous-5,Anonymous 5,
Anonymous-1954,Anonymous 1954,
Anonymous-1956,Anonymous 1956,
Anonymous-1961,Anonymous 1961,
Anonymous-1964,Anonymous 1964,
Anonymous-1970,Anonymous 1970,
Anonymous-1979,Anonymous 1979,
Anonymous-1981,Anonymous 1981,
Anonymous-1982,Anonymous 1982,
Anonymous-1983a,Anonymous 1983a,
Anonymous-1983b,Anonymous 1983b,
Anonymous-1985,Anonymous 1985,
Anonymous-1986,Anonymous 1986,
Anonymous-1990,Anonymous 1990,
Anonymous-nd,Anonymous n.d.,
Anthony-et-al-1968,Anthony et al. 1968,
Antoine-et-al-1974,Antoine et al. 1974,
Antonissen-1958,Antonissen 1958,
