pk,jsondata,key,description,valueset_pk,source_pk,version
42482,,,344,36663,1226,1
42483,,,344,36664,1226,1
42484,,,344,36665,1226,1
42485,,,328,36666,1226,1
42486,,,passim,36667,1226,1
42487,,,344,36668,1226,1
42488,,,324-328,36669,1226,1
42489,,,333ff,36670,1226,1
42490,,,344,36671,1226,1
42491,,,344,36672,1226,1
42492,,,322-323,36673,1226,1
42493,,,passim,36674,1226,1
42494,,,98,36678,2695,1
42495,,,93,36679,2695,1
42496,,,93,36680,2695,1
42497,,,93,36681,2695,1
42498,,,103-104,36682,2695,1
42499,,,102,36683,2695,1
42500,,,113,36684,2695,1
42501,,,105,36685,2695,1
42502,,,34,36686,2695,1
42503,,,"34, 36",36687,2695,1
42504,,,34,36688,2695,1
42505,,,34,36689,2695,1
42506,,,88,36690,2695,1
42507,,,passim,36691,2695,1
42508,,,"6, 102",36694,3308,1
42509,,,"6, 102",36695,3308,1
42510,,,"6, 102",36696,3308,1
42511,,,164-171,36697,3308,1
42512,,,"104, passim",36698,3308,1
42513,,,"3, passim",36699,3308,1
42514,,,15,36700,3308,1
42515,,,15,36701,3308,1
42516,,,15,36702,3308,1
42517,,,104,36703,3308,1
42518,,,"19, passim 24",36704,3308,1
42519,,,164-170,36705,3308,1
42520,,,259,36709,3379,1
42521,,,259,36710,3379,1
42522,,,259,36711,3379,1
42523,,,254,36712,3379,1
42524,,,"252, 256",36713,3379,1
42525,,,252,36714,3379,1
42526,,,252,36715,3379,1
42527,,,"94, 97",36716,3379,1
42528,,,258-266,36717,3379,1
42529,,,"119, 281",36718,3379,1
42530,,,276,36719,3379,1
42531,,,276,36720,3379,1
42532,,,276,36721,3379,1
42533,,,259,36722,3379,1
42534,,,110,36724,3104,1
42535,,,110,36725,3104,1
42536,,,110,36726,3104,1
42537,,,150-152,36727,3104,1
42538,,,"184, passim",36728,3104,1
42539,,,"184, passim",36729,3104,1
42540,,,314,36730,3104,1
42541,,,36,36733,2478,1
42542,,,"81, passim",36733,2479,1
42543,,,36,36734,2478,1
42544,,,"81, passim",36734,2479,1
42545,,,36,36735,2478,1
42546,,,"81, passim",36735,2479,1
42547,,,112-113,36736,2709,1
42548,,,passim 26,36736,2479,1
42549,,,25,36737,2478,1
42550,,,35,36737,2479,1
42551,,,"111-112, passim",36737,2709,1
42552,,,78,36738,2479,1
42553,,,11-12,36739,2478,1
42554,,,19-20,36739,2479,1
42555,,,153-154,36739,2709,1
42556,,,10,36740,2478,1
42557,,,90-91,36740,2479,1
42558,,,150-152,36740,2709,1
42559,,,90,36741,2479,1
42560,,,26,36742,2478,1
42561,,,passim,36742,2709,1
42562,,,125,36743,2479,1
42563,,,228-229,36743,2709,1
42564,,,passim,36744,2478,1
42565,,,"27-28, 30, 58, 59",36745,2709,1
42566,,,44,36745,2479,1
42567,,,"28-29, passim",36746,2709,1
42568,,,43ff,36746,2479,1
42569,,,45-46,36746,2478,1
42570,,,passim,36747,2478,1
42571,,,99,36748,2479,1
42572,,,70,36749,2709,1
42573,,,86,36749,2479,1
42574,,,70,36750,2709,1
42575,,,86,36750,2479,1
42576,,,passim,36751,2479,1
42577,,,127-129,36752,2479,1
42578,,,passim,36752,2709,1
42579,,,22-25,36753,2479,1
42580,,,119,36753,2709,1
42581,,,13,36754,2478,1
42582,,,20,36754,2479,1
42583,,,156,36754,2709,1
42584,,,passim,36755,2478,1
42585,,,passim,36755,2479,1
42586,,,passim,36755,2709,1
