pk,jsondata,id,name,description,markup_description
199,,zamucoan,Zamucoan,,
200,,zaparoan,Zaparoan,,
201,,zuni,Zuni,,
202,,southandamanese,South Andamanese,,
203,,solomonseastpapuan,Solomons East Papuan,,
204,,sulung,Sulung,,
205,,timoralorpantar,Timor-Alor-Pantar,,
206,,kariri,Kariri,,
207,,bangime,Bangime,,
208,,shompen,Shompen,,
210,,leftmay,Left May,,
211,,leko,Leko,,
212,,kapixana,Kapixana,,
172,,upperyuat,Piawi,,
213,,moraori,Moraori,,
214,,aikana,Aikaná,,
215,,iranxe,Iranxe,,
373,,sandawe,Sandawe,,
374,,tu,Tu,,
375,,kxa,Kxa,,
376,,khoekwadi,Khoe-Kwadi,,
377,,berta,Berta,,
378,,kunama,Kunama,,
379,,songhay,Songhay,,
380,,gumuz,Gumuz,,
381,,koman,Koman,,
382,,shabo,Shabo,,
383,,kuliak,Kuliak,,
384,,maban,Maban,,
385,,fur,Fur,,
386,,saharan,Saharan,,
387,,centralsudanic,Central Sudanic,,
388,,easternsudanic,Eastern Sudanic,,
389,,mande,Mande,,
390,,kordofanian,Kordofanian,,
391,,dogon,Dogon,,
392,,ijoid,Ijoid,,
77,,kadugli,Kadu,,
407,,yate,Yatê,,
408,,bororoan,Bororoan,,
409,,guato,Guató,,
412,,nyulnyulan,Nyulnyulan,,
413,,iwaidjan,Iwaidjan,,
414,,mangarrayimaran,Mangarrayi-Maran,,
415,,darwinregion,Darwin Region,,
416,,wagiman,Wagiman,,
417,,northerndaly,Northern Daly,,
418,,garrwan,Garrwan,,
419,,pamanyungan,Pama-Nyungan,,
420,,ansonbay,Anson Bay,,
421,,mirndi,Mirndi,,
422,,gunwinyguan,Gunwinyguan,,
423,,southerndaly,Southern Daly,,
424,,tiwian,Tiwian,,
425,,westerndaly,Western Daly,,
426,,worrorran,Worrorran,,
427,,mangrida,Mangrida,,
428,,tangkic,Tangkic,,
429,,bunuban,Bunuban,,
430,,jarrakan,Jarrakan,,
431,,easterndaly,Eastern Daly,,
432,,yangmanic,Yangmanic,,
433,,gaagudju,Gaagudju,,
434,,baining,Baining,,
435,,kwomtari,Kwomtari,,
436,,baibaifas,Baibai-Fas,,
437,,southbirdshead,South Bird's Head,,
438,,anim,Anim,,
