pk,jsondata,name,description,markup_description,id,type,lang,version
142,,Bagirmi,ruhlen,,,name,en,1
143,,Bagulal,ruhlen,,,name,en,1
144,,Bahinemo,ruhlen,,,name,en,1
145,,Bahnar,ruhlen,,,name,en,1
146,,Baining,ruhlen,,,name,en,1
147,,Baka,ruhlen,,,name,en,1
148,,Bakairi,ruhlen,,,name,en,1
149,,Balangaw,ruhlen,,,name,en,1
150,,Balant,ruhlen,,,name,en,1
151,,Balantak,ruhlen,,,name,en,1
152,,Balendru,ruhlen,,,name,en,1
153,,Bali,ruhlen,,,name,en,1
154,,Baluchi,ruhlen,,,name,en,1
155,,Bambara,ruhlen,,,name,en,1
156,,Bambui,ruhlen,,,name,en,1
157,,Bamun,ruhlen,,,name,en,1
158,,Bana,ruhlen,,,name,en,1
159,,Banawa,ruhlen,,,name,en,1
160,,Bandi,ruhlen,,,name,en,1
161,,Bandjalang,ruhlen,,,name,en,1
162,,Banggai,ruhlen,,,name,en,1
163,,Banggarla,ruhlen,,,name,en,1
164,,Baniva,ruhlen,,,name,en,1
165,,Banjari,ruhlen,,,name,en,1
166,,Bankon,ruhlen,,,name,en,1
167,,Banoni,ruhlen,,,name,en,1
168,,Bantik,ruhlen,,,name,en,1
169,,Barai,ruhlen,,,name,en,1
170,,Barambo,ruhlen,,,name,en,1
171,,Barasano (Northern),ruhlen,,,name,en,1
172,,Barasano (Southern),ruhlen,,,name,en,1
173,,Bare,ruhlen,,,name,en,1
174,,Bari,ruhlen,,,name,en,1
175,,Bariba,ruhlen,,,name,en,1
176,,Baruya,ruhlen,,,name,en,1
177,,Basaa,ruhlen,,,name,en,1
178,,Basari,ruhlen,,,name,en,1
179,,Bashkarik,ruhlen,,,name,en,1
180,,Bashkir,ruhlen,,,name,en,1
181,,Basque,ruhlen,,,name,en,1
182,,Batak,ruhlen,,,name,en,1
183,,Bats,ruhlen,,,name,en,1
184,,Bau,ruhlen,,,name,en,1
185,,Baule,ruhlen,,,name,en,1
186,,Baure,ruhlen,,,name,en,1
187,,Bauzi,ruhlen,,,name,en,1
188,,Bayso,ruhlen,,,name,en,1
189,,Beami,ruhlen,,,name,en,1
190,,Bega,ruhlen,,,name,en,1
191,,Beja,ruhlen,,,name,en,1
192,,Bella Coola,ruhlen,,,name,en,1
193,,Bemba,ruhlen,,,name,en,1
195,,Benabena,ruhlen,,,name,en,1
196,,Bencho,ruhlen,,,name,en,1
197,,Benga,ruhlen,,,name,en,1
198,,Bengali,ruhlen,,,name,en,1
199,,Beo,ruhlen,,,name,en,1
200,,Beothuk,ruhlen,,,name,en,1
201,,Berik,ruhlen,,,name,en,1
202,,Berta,ruhlen,,,name,en,1
203,,Bete,ruhlen,,,name,en,1
204,,Betoi,ruhlen,,,name,en,1
205,,Bezhta,ruhlen,,,name,en,1
206,,Bhili,ruhlen,,,name,en,1
207,,Bhojpuri,ruhlen,,,name,en,1
208,,Biafada,ruhlen,,,name,en,1
209,,Biak,ruhlen,,,name,en,1
210,,Biatah,ruhlen,,,name,en,1
211,,Bidiyo,ruhlen,,,name,en,1
212,,Bilaan (Cotabato),ruhlen,,,name,en,1
213,,Bilaan (Sarangani),ruhlen,,,name,en,1
214,,Bileki,ruhlen,,,name,en,1
215,,Bilin,ruhlen,,,name,en,1
216,,Biloxi,ruhlen,,,name,en,1
217,,Bilua,ruhlen,,,name,en,1
218,,Bima,ruhlen,,,name,en,1
219,,Binandere,ruhlen,,,name,en,1
220,,Bini,ruhlen,,,name,en,1
221,,Binukid,ruhlen,,,name,en,1
222,,Binumarien,ruhlen,,,name,en,1
223,,Bira,ruhlen,,,name,en,1
224,,Biri,ruhlen,,,name,en,1
225,,Birom,ruhlen,,,name,en,1
226,,Bisa,ruhlen,,,name,en,1
227,,Bislama,ruhlen,,,name,en,1
228,,Bisu,ruhlen,,,name,en,1
229,,Blackfoot,ruhlen,,,name,en,1
230,,Boazi,ruhlen,,,name,en,1
231,,Bobangi,ruhlen,,,name,en,1
232,,Bobo-Fing,ruhlen,,,name,en,1
233,,Bodo,ruhlen,,,name,en,1
234,,Boiken,ruhlen,,,name,en,1
235,,Bole,ruhlen,,,name,en,1
236,,Bongo,ruhlen,,,name,en,1
237,,Bongu,ruhlen,,,name,en,1
238,,Bontok (Central),ruhlen,,,name,en,1
239,,Bora,ruhlen,,,name,en,1
240,,Boro (Omotic),ruhlen,,,name,en,1
241,,Bororo,ruhlen,,,name,en,1
242,,Borunca,ruhlen,,,name,en,1
243,,Bozo,ruhlen,,,name,en,1
244,,Brahui,ruhlen,,,name,en,1
245,,Brao,ruhlen,,,name,en,1
246,,Brat,ruhlen,,,name,en,1
247,,Breton,ruhlen,,,name,en,1
248,,Bribri,ruhlen,,,name,en,1
249,,Bru,ruhlen,,,name,en,1
250,,Bubi,ruhlen,,,name,en,1
251,,Buduma,ruhlen,,,name,en,1
252,,Budux,ruhlen,,,name,en,1
253,,Bugis,ruhlen,,,name,en,1
254,,Buglere,ruhlen,,,name,en,1
255,,Buin,ruhlen,,,name,en,1
256,,Bukar Sadong,ruhlen,,,name,en,1
257,,Bulgarian,ruhlen,,,name,en,1
258,,Buli,ruhlen,,,name,en,1
259,,Bulu,ruhlen,,,name,en,1
260,,Buma,ruhlen,,,name,en,1
261,,Bunaba,ruhlen,,,name,en,1
262,,Bunan,ruhlen,,,name,en,1
263,,Bura,ruhlen,,,name,en,1
264,,Burarra,ruhlen,,,name,en,1
265,,Buriat,ruhlen,,,name,en,1
266,,Burji,ruhlen,,,name,en,1
267,,Burmese,ruhlen,,,name,en,1
268,,Buru,ruhlen,,,name,en,1
269,,Burum,ruhlen,,,name,en,1
270,,Burunge,ruhlen,,,name,en,1
271,,Burushaski,ruhlen,,,name,en,1
272,,Busa,ruhlen,,,name,en,1
273,,Bushong,ruhlen,,,name,en,1
274,,Bwe,ruhlen,,,name,en,1
275,,Byangsi,ruhlen,,,name,en,1
276,,Byelorussian,ruhlen,,,name,en,1
277,,Cabecar,ruhlen,,,name,en,1
278,,Cacua,ruhlen,,,name,en,1
279,,Caddo,ruhlen,,,name,en,1
280,,Cagaba,ruhlen,,,name,en,1
281,,Cahuilla,ruhlen,,,name,en,1
282,,Cakchiquel,ruhlen,,,name,en,1
283,,Cambodian,ruhlen,,,name,en,1
284,,Camsa,ruhlen,,,name,en,1
285,,Canadian Inuit,ruhlen,,,name,en,1
286,,Canamari,ruhlen,,,name,en,1
287,,Candoshi,ruhlen,,,name,en,1
288,,Canela,ruhlen,,,name,en,1
289,,Cantonese,ruhlen,,,name,en,1
290,,Capanahua,ruhlen,,,name,en,1
291,,Carapana,ruhlen,,,name,en,1
292,,Carijona,ruhlen,,,name,en,1
293,,Carolinian,ruhlen,,,name,en,1
294,,Carrier,ruhlen,,,name,en,1
295,,Cashibo,ruhlen,,,name,en,1
296,,Cashinahua,ruhlen,,,name,en,1
297,,Catalan,ruhlen,,,name,en,1
298,,Catawba,ruhlen,,,name,en,1
299,,Cavineña,ruhlen,,,name,en,1
300,,Cayapa,ruhlen,,,name,en,1
301,,Cayapo,ruhlen,,,name,en,1
302,,Cayuga,ruhlen,,,name,en,1
303,,Cayuvava,ruhlen,,,name,en,1
304,,Cebuano,ruhlen,,,name,en,1
305,,Cemuhi,ruhlen,,,name,en,1
306,,Central Teke,ruhlen,,,name,en,1
307,,Central Tibetan,ruhlen,,,name,en,1
308,,Ch'iang,ruhlen,,,name,en,1
309,,Chacobo,ruhlen,,,name,en,1
310,,Chaga,ruhlen,,,name,en,1
311,,Chakosi,ruhlen,,,name,en,1
312,,Cham (East),ruhlen,,,name,en,1
313,,Cham (West),ruhlen,,,name,en,1
314,,Chamalal,ruhlen,,,name,en,1
315,,Chamba,ruhlen,,,name,en,1
316,,Chambri,ruhlen,,,name,en,1
317,,Chami,ruhlen,,,name,en,1
318,,Chamorro,ruhlen,,,name,en,1
319,,Chang,ruhlen,,,name,en,1
320,,Chatino,ruhlen,,,name,en,1
321,,Chaudangsi,ruhlen,,,name,en,1
322,,Chavacano,ruhlen,,,name,en,1
323,,Chavante,ruhlen,,,name,en,1
324,,Chayahuita,ruhlen,,,name,en,1
325,,Chechen,ruhlen,,,name,en,1
326,,Chehalis (Upper),ruhlen,,,name,en,1
327,,Chemakum,ruhlen,,,name,en,1
328,,Chemehuevi,ruhlen,,,name,en,1
329,,Chepang,ruhlen,,,name,en,1
330,,Cherokee,ruhlen,,,name,en,1
331,,Cheyenne,ruhlen,,,name,en,1
332,,Chibcha,ruhlen,,,name,en,1
333,,Chichimeca,ruhlen,,,name,en,1
334,,Chicomukeltec,ruhlen,,,name,en,1
335,,Chimane,ruhlen,,,name,en,1
336,,Chimariko,ruhlen,,,name,en,1
337,,Chimbu,ruhlen,,,name,en,1
338,,Chimila,ruhlen,,,name,en,1
339,,Chimu,ruhlen,,,name,en,1
340,,Chinantec,ruhlen,,,name,en,1
341,,Chinook (Lower),ruhlen,,,name,en,1
342,,Chinook (Upper),ruhlen,,,name,en,1
343,,Chipewyan,ruhlen,,,name,en,1
344,,Chiquito,ruhlen,,,name,en,1
345,,Chitimacha,ruhlen,,,name,en,1
346,,Chiwere,ruhlen,,,name,en,1
347,,Chocho,ruhlen,,,name,en,1
348,,Choctaw,ruhlen,,,name,en,1
349,,Chol,ruhlen,,,name,en,1
350,,Cholona,ruhlen,,,name,en,1
351,,Chontal,ruhlen,,,name,en,1
352,,Chorote,ruhlen,,,name,en,1
353,,Chorti,ruhlen,,,name,en,1
354,,Chrau,ruhlen,,,name,en,1
355,,Chru,ruhlen,,,name,en,1
356,,Chuave,ruhlen,,,name,en,1
357,,Chuj,ruhlen,,,name,en,1
358,,Chukchi,ruhlen,,,name,en,1
359,,Chulupi,ruhlen,,,name,en,1
360,,Chulym,ruhlen,,,name,en,1
361,,Chumash,ruhlen,,,name,en,1
362,,Chutiya,ruhlen,,,name,en,1
363,,Chuvash,ruhlen,,,name,en,1
364,,Clallam,ruhlen,,,name,en,1
365,,Coahuiltec,ruhlen,,,name,en,1
366,,Cocama,ruhlen,,,name,en,1
367,,Cocopa,ruhlen,,,name,en,1
368,,Coeur d'Alene,ruhlen,,,name,en,1
369,,Cofan,ruhlen,,,name,en,1
370,,Colorado,ruhlen,,,name,en,1
371,,Columbian,ruhlen,,,name,en,1
372,,Comanche,ruhlen,,,name,en,1
373,,Comecrudo,ruhlen,,,name,en,1
374,,Comox,ruhlen,,,name,en,1
375,,Coos,ruhlen,,,name,en,1
376,,Coptic,ruhlen,,,name,en,1
377,,Cora,ruhlen,,,name,en,1
378,,Coreguaje,ruhlen,,,name,en,1
379,,Cornish,ruhlen,,,name,en,1
380,,Cree,ruhlen,,,name,en,1
381,,Crimean Turkish,ruhlen,,,name,en,1
