id,name,directory,toc_position
1,Introduction,intro,head
2,Abbreviations,abbreviations,head
3,Help,help,head
4,Genealogical Language List,genealogy,tail
5,Sampling Case and Tense Formatives,,tail
6,Determining Dominant Word Order,,tail
7,Tense and Aspect,intro65-68,tail
8,Relativization Strategies,intro122-123,tail
9,Sign Languages,intro139-140,tail
