ID,NameOLD,NameNEW,MacroareaOLD,MacroareaNEW,LatitudeOLD,LatitudeNEW,LongitudeOLD,LongitudeNEW,GlottocodeOLD,GlottocodeNEW,ISO639P3code,FamilyOLD,FamilyNEW,SubfamilyOLD,SubfamilyNEW,GenusOLD,GenusNEW,GenusIcon,ISO_codesOLD,ISO_codesNEW,Samples_100,Samples_200,Country_IDOLD,Country_IDNEW,Source
gad,Gade,Gade,Africa,Africa,8.666666667,8.666666667,7.416666667,7.416666667,gade1242,gade1242,ged,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Nupoid,Gade,d9999ff,ged,ged,0,0,NG,NG,Sterk-1990 Sterk-1994
jrn,Juruna,Juruna,South America,South America,-5,-5,-54.5,-54.5,juru1256,juru1256,jur,Tupian,Tupian,,,Maweti-Guarani,Yuruna,dffff00,jur,jur,0,0,BR,BR,Rodrigues-1999a
yki,Yuki,Yuki,North America,North America,39.66666667,39.66666667,-123.5,-123.5,yuki1243,yuki1243,yuk,Wappo-Yukian,Wappo-Yukian,,,Yukian,Yuki,saa0000,yuk,yuk,0,0,US,US,Sawyer-and-Schlichter-1984
ewa,Ewe (Anglo),Ewe (Anlo),Africa,Africa,6,6,1,1,ewee1241,angl1262,ewe,Niger-Congo,Niger-Congo,Kwa,Kwa,Tano,Gbe,d009900,ewe,ewe,0,0,GH,GH,Lewis-1985
ewe,Ewe,Ewe,Africa,Africa,6.333333333,6.333333333,0.416666667,0.416666667,ewee1241,ewee1241,ewe,Niger-Congo,Niger-Congo,Kwa,Kwa,Tano,Gbe,d009900,ewe,ewe,0,1,TG GH,TG GH,Agbodjo-and-Litvinov-2001 Ameka-1991 Ameka-1994 Ameka-2001 Duthie-1996 Malherbe-and-Rosenberg-1996 Pasch-1995 Rongier-1988 Schadeberg-1985 Warburton-et-al-1968 Westermann-1907 Westermann-1930 Westermann-1945 Westermann-1961
fon,Fongbe,Fongbe,Africa,Africa,6.416666667,6.416666667,2.166666667,2.166666667,fonn1241,fonn1241,fon,Niger-Congo,Niger-Congo,Kwa,Kwa,Tano,Gbe,d009900,fon,fon,0,0,BJ,BJ,Hoftmann-1993 Lefebvre-and-Brousseau-2002
guw,Gungbe,Gungbe,Africa,Africa,6.5,6.5,2.5,2.5,gunn1250,gunn1250,guw,Niger-Congo,Niger-Congo,Kwa,Kwa,Tano,Gbe,d009900,guw,guw,0,0,BJ,BJ,Hazoume-1979
bnk,Bankon,Bankon,Africa,Africa,4.416666667,4.416666667,9.583333333,9.583333333,bank1256,bank1256,abb,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Wide Grassfields,Bantu,d0000dd,abb,abb,0,0,CM,CM,Spellenberg-1969
muo,Muong,Muong,Eurasia,Eurasia,20.5,20.5,105.0833333,105.0833333,muon1246,muon1246,mtq,Austro-Asiatic,Austro-Asiatic,Mon-Khmer,Mon-Khmer,Viet-Muong,Vietic,sffffcc,mtq,mtq,0,0,VN,VN,Sokolovskaja-and-Nguyen-1987
vie,Vietnamese,Vietnamese,Eurasia,Eurasia,10.5,10.5,106.5,106.5,viet1252,viet1252,vie,Austro-Asiatic,Austro-Asiatic,Mon-Khmer,Mon-Khmer,Viet-Muong,Vietic,sffffcc,vie,vie,1,1,VN,VN,Binh-1971 Bisang-1991 Bisang-1992 Bystrov-and-Stankevich-2001 Bystrov-and-Stankevich-2007 Emeneau-1951 Hoang-1982 Huffman-and-Hai-1980 Hung-1979 Jones-and-Thong-1960 Malherbe-and-Rosenberg-1996 Nguyen-1966 Nguyen-1974a Nguyen-1974b Nguyen-1975 Nguyen-1990 Nguyen-1997 Nguyen-2001 Solncev-et-al-1960 Thompson-1965 Thompson-1987 Thompson-1991 Van-Chinh-1970 Vu-1998 Vuong-Gia-Thuy-1975
