supplement_id,author_id,order,primary
1,comrieb,,t
1,dryerms,,t
1,gild,,t
1,haspelmathm,,t
4,dryerms,,t
5,bickelb,,t
5,nicholsj,,t
6,dryerms,,t
7,dahlo,,t
7,velupillaiv,,t
8,comrieb,,t
8,kutevat,,t
9,zeshanu,,t
