chapter_id,reference_id
1,Louw-1975
1,Lindblom-and-Maddieson-1988
5,Ohala-1983b
6,Maddieson-et-al-2001
6,Rischel-1974
9,Johnson-and-Madan-1991
9,Anderson-2003a
9,Anderson-2003b
9,Terescenko-1966a
9,Skorik-1986
9,Volodin-1997
9,Gruzdeva-1998
9,Ubrjatova-1985
9,Nikolaeva-and-Xelimskij-1997
9,Novikova-1997
9,Cincius-1975
9,Lyman-1979
9,Bromley-1961
9,Li-and-Thompson-1981
9,Vaxtin-1997
9,Dixon-1988
9,McGregor-1990
9,Carlson-1994
9,Decsy-1966
9,Breen-1981
9,Shell-1952
9,Solnit-1997
9,Foley-1991
9,Lang-1973
9,Jacobson-1995
9,Bright-1965b
9,Salas-1992
9,Rupp-1989
9,Stevenson-1969
9,Popjes-and-Popjes-1986
9,Volodin-and-Skorik-1997
9,Echols-and-Shadily-1961
9,Merlan-1982
9,Bhat-and-Ningomba-1997
9,Lawrence-1993
9,Grinevald-1988
9,Nguyen-1966
9,Thompson-et-al-1974
9,Gamble-1978
9,Bright-1965a
9,Kroeber-1907
9,Portman-1992
9,Dasgupta-and-Sharma-1982
9,Innes-1966
9,Jakobson-1941
10,Boas-and-Deloria-1941
10,Beddor-1993
10,Ogunbowale-1970
10,Chafe-1996
10,Ferguson-1966
10,Heath-1999b
10,Everett-and-Kern-1997
10,Facundes-2000
10,Hajek-1997
10,Osborn-1966
10,Jones-and-Jones-1991
10,Cohn-1993
10,Harms-1994
10,Walker-1999
10,Witucki-1974
10,Noss-1964
10,Matisoff-1975
10,Willms-1972
11,Stevens-1972
11,Vago-1980
13,Thelwall-1981
13,Feev-1998
13,Grimes-2000
14,Dixon-and-Aikhenvald-2002
14,Revithiadou-1999
14,Hayes-1995
15,van-der-Hulst-1996
16,Goedemans-1996
16,Goedemans-1997
16,Goedemans-1998
16,Hajek-and-Goedemans-2003
16,van-Oostendorp-2000
16,Rosenthal-and-van-der-Hulst-1999
16,Zec-1988
16,Kenstowicz-1994
20,Plank-1999
20,Bickel-and-Nichols-2005
20,Dixon-1988
20,Childs-1995
21,Plank-1999
21,Bickel-and-Nichols-2005
21,Everett-and-Kern-1997
21,Bossong-1985
21,Bossong-1998
21,Nedjalkov-1997
21,Evans-1995
21,Crazzolara-1960
21,Foley-1986
21,Noonan-1992
22,Bickel-2003
22,Bickel-and-Nichols-2005
22,Harriehausen-1990
22,Li-and-Thompson-1981
22,Franklin-1971
22,Bickel-and-Nichols-2003
23,Dayley-1985
23,Crowley-1983
23,Tosco-1991
23,Payne-1990
23,Bossong-1985
23,Aissen-2003
23,Nichols-1986
23,Nichols-1992
23,Cysouw-2002
23,Bickel-and-Nichols-2002
24,Miller-1965
24,Dixon-1988
24,Awobuluyi-1978
24,Broadbent-1964
24,Osborne-1974
24,Voorhoeve-1965b
24,Roberts-1987
24,Topping-1980a
24,Crowell-1979
24,Nichols-1986
24,Nichols-1992
24,Cysouw-2002
24,Bickel-and-Nichols-2002
25,Dayley-1985
25,Merlan-1982
25,Pellizzaro-1969
25,Gnerre-1999
25,Everett-1986
25,Nichols-1986
25,Nichols-1992
25,Cysouw-2002
26,Bolton-1990
26,Welmers-1976
26,Nebel-1948
26,Fortescue-1984
26,Reed-et-al-1977
26,Meinhof-1930
26,Reinisch-1893
26,Harrison-and-Albert-1976
26,Charachidze-1989
26,Groves-et-al-1985
26,Bonvillain-1973
26,Scorza-1985
26,Kahombo-1992
26,Samarin-1967b
26,Werner-1997a
26,Benjamin-1976
26,Cutler-et-al-1986
26,Greenberg-1957
26,Hall-1988
26,Bybee-et-al-1990
27,Aoki-1963
27,Rubino-2001b
27,Moravcsik-1978
27,Kuipers-1967
27,van-den-Berg-1995
27,Kimball-1988
