Language_ID,Name,Provider
awy,Awyi,ethnologue
pis,"Awyu, Asue",ethnologue
aym,"Aymara, Southern",ethnologue
ayr,Ayoreo,ethnologue
aze,"Azerbaijani, North",ethnologue
aze azi,"Azerbaijani, South",ethnologue
brb,Baatonum,ethnologue
sis,Babatana,ethnologue
bdg,Badaga,ethnologue
bad,Bade,ethnologue
bdm,Badimaya,ethnologue
bfi,Bafia,ethnologue
baf,Bafut,ethnologue
bgs,Baga Sitemu,ethnologue
bag,Bagirmi,ethnologue
bgi,Bagri,ethnologue
bgv,Bagvalal,ethnologue
bdw,Baham,ethnologue
bhn,Bahinemo,ethnologue
bpb,Bahnar,ethnologue
bai,"Bai, Central",ethnologue
bys,Baiso,ethnologue
baj,"Bajau, Indonesian",ethnologue
bwc,"Bajau, West Coast",ethnologue
bak bka,Baka,ethnologue
bki,Bakairí,ethnologue
blg,Balangao,ethnologue
sbg,Balangingi,ethnologue
blz,Balanta-Ganja,ethnologue
blz,Balanta-Kentohe,ethnologue
blk,Balantak,ethnologue
bal,Bali,ethnologue
krc,Balkar,ethnologue
blc,"Balochi, Eastern",ethnologue
blt,Balti,ethnologue
bam,Bamanankan,ethnologue
bbm,Bambam,ethnologue
mbi,Bambili-Bambui,ethnologue
bmn,Bamun,ethnologue
ban,Bana,ethnologue
lnd,Banda-Bambari,ethnologue
bnd,Bandi,ethnologue
bca bnj bwa byu gid,Bandjalang,ethnologue
bgg,Banggai,ethnologue
bnl,Banggarla,ethnologue
bob,Bangi,ethnologue
bgm,Bangi Me,ethnologue
bnw,Baniwa,ethnologue
bnk,Bankon,ethnologue
bnn,Bannoni,ethnologue
bnt,Bantik,ethnologue
ble,Baoulé,ethnologue
baa,Barai,ethnologue
bbu,Barambu,ethnologue
brs,Barasana-Eduria,ethnologue
cba,Barbareño,ethnologue
brd,Bardi,ethnologue
mug,Bargam,ethnologue
bar kuk,Bari,ethnologue
bry,Baruya,ethnologue
bae,Baré,ethnologue
mti,Barí,ethnologue
bas,Basaa,ethnologue
bsk,Bashkort,ethnologue
bqb bqg bqh bqi bql bqn bqo bqr bqs bqz bso bsq,Basque,ethnologue
bat,Batak,ethnologue
alx,Batak Alas-Kluet,ethnologue
bkr,Batak Karo,ethnologue
bto,Batak Toba,ethnologue
bth,Bathari,ethnologue
ttu,Bats,ethnologue
bau,Bau,ethnologue
baq,Baure,ethnologue
bzi,Bauzi,ethnologue
gau gba gvi,Bavarian,ethnologue
dhb,Bayali,ethnologue
bxj,Bayungu,ethnologue
bej,Bedawiyet,ethnologue
bee,Beembe,ethnologue
blr,Belarusan,ethnologue
bel,Belhariya,ethnologue
mce,Belize Kriol English,ethnologue
bco,Bella Coola,ethnologue
bem,Bemba,ethnologue
beb,Benabena,ethnologue
gim,Bench,ethnologue
bnq,Beng,ethnologue
bga,Benga,ethnologue
ben,Bengali,ethnologue
kkl,Benkala Sign Language,ethnologue
beo,Beothuk,ethnologue
bia,Bera,ethnologue
bdc,Berbice Creole Dutch,ethnologue
brk,Berik,ethnologue
bir,Berom,ethnologue
ber,Berta,ethnologue
meb,Betawi,ethnologue
bez,Bezhta,ethnologue
bhi,Bhili,ethnologue
bho,Bhojpuri,ethnologue
bfd,Biafada,ethnologue
bik,Biak,ethnologue
bkl,"Bicolano, Central",ethnologue
bit,"Bidayuh, Biatah",ethnologue
mta,"Bidayuh, Bukar-Sadong",ethnologue
bid,Bidiyo,ethnologue
bia,Bila,ethnologue
bln,Bilen,ethnologue
blx,Biloxi,ethnologue
bil,Bilua,ethnologue
bim,Bima,ethnologue
bmb,Bimoba,ethnologue
bin,Binandere,ethnologue
bkd,Binukid,ethnologue
bnm,Binumarien,ethnologue
bii,Biri,ethnologue
brz,Birri,ethnologue
bsm,Bislama,ethnologue
bis,Bissa,ethnologue
biu,Bisu,ethnologue
biq,"Blaan, Sarangani",ethnologue
bla,Blackfoot,ethnologue
bod,Bodo,ethnologue
boi,Boikin,ethnologue
bok,Boko,ethnologue
blq,Bole,ethnologue
bol,Bolia,ethnologue
biq,Bolinao,ethnologue
bao,Bonan,ethnologue
rem,Bondo,ethnologue
bgz,Bonggi,ethnologue
bgo,Bongo,ethnologue
bon,Bongu,ethnologue
btk,"Bontoc, Central",ethnologue
bor,Bora,ethnologue
ssh,Borna,ethnologue
brc,Boruca,ethnologue
brr,Borôro,ethnologue
bos scr,Bosnian,ethnologue
yay,Bouyei,ethnologue
boz,"Bozo, Tiéyaxo",ethnologue
brh,Brahui,ethnologue
lsb,Brazilian Sign Language,ethnologue
bre,Breton,ethnologue
bri,Bribri,ethnologue
bsl,British Sign Language,ethnologue
bkt,Brokskat,ethnologue
bru,"Bru, Eastern",ethnologue
brw,"Bru, Western",ethnologue
bub,Bube,ethnologue
bdu,Budu,ethnologue
bdk,Budukh,ethnologue
bud,Buduma,ethnologue
bug,Bugis,ethnologue
bgl,Buglere,ethnologue
arp,Bukiyip,ethnologue
bul,Bulgarian,ethnologue
bui buy,Buli,ethnologue
buw,Bulu,ethnologue
bnb,Bunaba,ethnologue
pnu,"Bunu, Younuo",ethnologue
bpa,Bura-Pabir,ethnologue
bua,Burarra,ethnologue
but,"Buriat, Mongolia",ethnologue
brj,Burji,ethnologue
brm,Burmese,ethnologue
buu,Buru,ethnologue
bmr,Burum-Mindik,ethnologue
brn,Burunge,ethnologue
bur,Burushaski,ethnologue
bus,Busa,ethnologue
bsh,Bushoong,ethnologue
bya,Byangsi,ethnologue
bet,"Bété, Daloa",ethnologue
cab,Cabécar,ethnologue
cac,Cacua,ethnologue
cad,Caddo,ethnologue
cah,Cahuilla,ethnologue
cml,Camling,ethnologue
cam,Camsá,ethnologue
can,Candoshi-Shapra,ethnologue
ckr cnl,Canela,ethnologue
cap,Capanahua,ethnologue
crp,Carapana,ethnologue
car,Carib,ethnologue
crj hia umu,Carijona,ethnologue
crl,Carolinian,ethnologue
crq,Carrier,ethnologue
cas,Cashibo-Cacataibo,ethnologue
ctl,Catalan-Valencian-Balear,ethnologue
ctw,Catawba,ethnologue
cav,Cavineña,ethnologue
cyv,Cayubaba,ethnologue
cyg,Cayuga,ethnologue
ceb,Cebuano,ethnologue
cem,Cemuhî,ethnologue
kir,Cerma,ethnologue
coi,Ch'orti',ethnologue
cay,Chachi,ethnologue
cld naa,Chaldean Neo-Aramaic,ethnologue
cme,"Cham, Eastern",ethnologue
chw,"Cham, Western",ethnologue
chm,Chamalal,ethnologue
chb,Chambri,ethnologue
cha,Chamorro,ethnologue
chn,Chantyal,ethnologue
cht,"Chatino, Nopala",ethnologue
ctt,"Chatino, Tataltepec",ethnologue
cso cya,"Chatino, Western Highland",ethnologue
chd,Chaudangsi,ethnologue
cvc,Chavacano,ethnologue
chy,Chayahuita,ethnologue
chc,Chechen,ethnologue
chl,"Chehalis, Upper",ethnologue
ckh,Cheke Holo,ethnologue
cpn,Chepang,ethnologue
che,Cherokee,ethnologue
cyn,Cheyenne,ethnologue
msc,Chibcha,ethnologue
cjo,Chichimeca-Jonaz,ethnologue
cck,Chickasaw,ethnologue
cec,Chicomuceltec,ethnologue
nko,Chiga,ethnologue
cln,Chilisso,ethnologue
chi,Chimariko,ethnologue
cma,Chimila,ethnologue
hyo,"Chin, Asho",ethnologue
baw,"Chin, Bawm",ethnologue
lai,"Chin, Haka",ethnologue
khu,"Chin, Khumi",ethnologue
cmr,"Chin, Mara",ethnologue
pte,"Chin, Paite",ethnologue
chs,"Chin, Siyin",ethnologue
cti,"Chin, Tedim",ethnologue
