ID,Name,Description,Contributor,Citation,wp_slug,Number,Area_ID,Source,Contributor_ID,With_Contributor_ID
50,Asymmetrical Case-Marking,,Oliver A. Iggesen,"Oliver A. Iggesen. 2013. Asymmetrical Case-Marking. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/50)",asymmetrical-case-marking,50,3,Kornfilt-1997 Davies-1981b Maslova-2003a Pitman-1980 Ucida-1970 Jakobi-1990 Foley-1991 Bowe-1990 Mathiassen-1997 Wurzel-1984 Haspelmath-2002 Valenzuela-2003,iggesenoa,
51,Position of Case Affixes,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Position of Case Affixes. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/51)",position-of-case-affixes,51,3,Reh-1985 Holisky-and-Gagua-1994 Collins-1962 Green-1995 Penchoen-1973b Morgenstierne-1949 Sapir-1922b Tucker-and-Bryan-1966 Kohnen-1933 Tucker-and-Mpaayei-1955 Creider-and-Creider-1989 Crazzolara-1933 Brown-2001 Dunn-1999 Merlan-1982 Frachtenberg-1922a Dimmendaal-1983a Key-1967 Rumsey-1982 Saeed-1993 Hosokawa-1991 Williams-1980b Ziervogel-et-al-1981 Mateene-1992,dryerms,
52,Comitatives and Instrumentals,,"Thomas Stolz, Cornelia Stroh, Aina Urdze","Thomas Stolz, Cornelia Stroh, Aina Urdze. 2013. Comitatives and Instrumentals. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/52)",comitatives-and-instrumentals,52,3,Levinsohn-1976 Stolz-1996 Lavotha-1973 Stolz-and-Stroh-2001 Karlsson-1978 Banhidi-et-al-1975 Stolz-2001c Lakoff-and-Johnson-1980 Schwarz-et-al-2001 Stolz-2001a Stolz-2001b Stassen-2000,stolzt strohc urdzea,
53,Ordinal Numerals,,"Thomas Stolz, Ljuba N. Veselinova","Thomas Stolz, Ljuba N. Veselinova. 2013. Ordinal Numerals. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/53)",ordinal-numerals,53,3,Hurford-1975 Hurford-1987 Veselinova-1997 Stolz-2001d Davies-1989b Jacq-and-Sidwell-1999 Kwee-1981 Olza-Zubiri-and-Jusayu-1985 van-den-Berg-1995 Childs-1995 Lavotha-1973 Hoang-Thi-Chau-1982,stolzt veselinovaln,
54,Distributive Numerals,,David Gil,"David Gil. 2013. Distributive Numerals. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/54)",distributive-numerals,54,3,Gil-1988 Braine-1970 Boas-1911c Gil-1982 Saltarelli-et-al-1988 Gil-1989 Key-1967 Gil-1993 Besnier-2000 Prokofeva-1966 Refsing-1986 Hawkins-1998 Nikolaeva-and-Tolskaya-2001 Foreman-1974 Skorik-1961 Ezard-1997 Gil-1987 Link-1986a Link-1986b Choe-1987,gild,
55,Numeral Classifiers,,David Gil,"David Gil. 2013. Numeral Classifiers. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/55)",numeral-classifiers,55,3,Welmers-1973 Osborne-1974 Beckwith-1992 Noonan-2000 Reesink-1999 Swanton-1911b Jones-1998b Boas-1911c Aikhenvald-1998 Haas-1942 Burling-1965 Craig-1986 Gil-1987 Thompson-1965 Quine-1969 Stein-1981 Link-1991 Gil-1996a,gild,
56,Conjunctions and Universal Quantifiers,,David Gil,"David Gil. 2013. Conjunctions and Universal Quantifiers. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/56)",conjunctions-and-universal-quantifiers,56,3,Keenan-and-Faltz-1986 Carlson-1994 Dixon-1977a Boas-1911c Bowden-2001 Roberts-1987 Bach-1996 Cyffer-and-Hutchison-1990 Gil-1994a Hardman-2000 Guma-1971 Emeneau-1980 Gil-1994b Konig-1991 Haspelmath-1997,gild,
57,Position of Pronominal Possessive Affixes,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Position of Pronominal Possessive Affixes. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/57)",position-of-pronominal-possessive-affixe,57,3,Abbott-1991 Hamel-1994 Kibrik-1994a Dorais-1988 Kuipers-1967 van-Eijk-1997 Gordon-1986 Donohue-1999a Rumsey-1982 Chapman-and-Derbyshire-1991 Wilkins-1989 MacDonald-1990 Groves-et-al-1985 Niggemeyer-1951 Gruzdeva-1998 Sauvageot-1965,dryerms,
58,Obligatory Possessive Inflection,,"Balthasar Bickel, Johanna Nichols","Balthasar Bickel, Johanna Nichols. 2013. Obligatory Possessive Inflection. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/58)",obligatory-possessive-inflection,58,4,Young-and-Morgan-1987 Miller-1965 Jensen-1998 Lastra-de-Suarez-1984 Rodrigues-1999b Aikhenvald-2000 Carlson-and-Payne-1989 Kroeber-and-Grace-1960 Jacobsen-1964 Lichtenberk-1983b Crowley-1982 Dixon-1988 Rehg-1981,bickelb nicholsj,
59,Possessive Classification,,"Johanna Nichols, Balthasar Bickel","Johanna Nichols, Balthasar Bickel. 2013. Possessive Classification. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/59)",possessive-classification,59,4,Langdon-1970 Heath-1980b Osborne-1974 Rude-1985 Aoki-1994 Aoki-1970 Berger-1998 Roberts-1987 Thurston-1982 Lastra-de-Suarez-1984 Key-1967,nicholsj bickelb,
60,"Genitives, Adjectives and Relative Clauses",,David Gil,"David Gil. 2013. Genitives, Adjectives and Relative Clauses. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/60)",genitives-adjectives-and-relative-clause,60,4,Gil-2001,gild,
61,Adjectives without Nouns,,David Gil,"David Gil. 2013. Adjectives without Nouns. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/61)",adjectives-without-nouns,61,4,Evans-1995 Fleisch-2001 Okell-1969 Harvey-1992 Matthewson-1998 Aikhenvald-1996 Heath-1999b Reesink-1999 Moore-1984 Haspelmath-1993 Seiler-1985 Dol-1999 Harms-1994 Gil-1994d van-den-Berg-1995,gild,
62,Action Nominal Constructions,,Maria Koptjevskaja-Tamm,"Maria Koptjevskaja-Tamm. 2013. Action Nominal Constructions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/62)",action-nominal-constructions,62,4,Comrie-1976a Comrie-and-Thompson-1985 Koptjevskaja-Tamm-1993 Koptjevskaja-Tamm-2003 Chomsky-1970 Haspelmath-1996 Grimshaw-1990 Cole-1982 Vendler-1967 Kazenin-1996 Topping-1973,koptjevskajatammm,
63,Noun Phrase Conjunction,,Leon Stassen,"Leon Stassen. 2013. Noun Phrase Conjunction. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/63)",noun-phrase-conjunction,63,4,Stassen-2000 Taylor-1985 Feldman-1986 Asher-1982 Reinisch-1893 Lukas-1953 Nichols-1986 Dumezil-1931 Tonelli-1926 Welmers-1973 Schaub-1985 Mosel-1984 Hinds-1986,stassenl,
64,Nominal and Verbal Conjunction,,Martin Haspelmath,"Martin Haspelmath. 2013. Nominal and Verbal Conjunction. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/64)",nominal-and-verbal-conjunction,64,4,Kenesei-et-al-1998 Olawsky-1999 Blevins-2001 Davies-1999 Merlan-1994 Willett-1991 Osumi-1995 Rennison-1997 Seiler-1985 Guirardello-1999a Haspelmath-2005 Schaub-1985 Kuno-1978 MacDonald-1990 Haspelmath-1995 Alpatov-and-Podlesskaya-1995 Berchem-1991 Topping-1973 Welmers-1973,haspelmathm,
65,Perfective/Imperfective Aspect,,"Östen Dahl, Viveka Velupillai","Östen Dahl, Viveka Velupillai. 2013. Perfective/Imperfective Aspect. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/65)",perfective-imperfective-aspect,65,5,Dahl-1985 Bybee-et-al-1994 Grinevald-1988,dahlo velupillaiv,
66,The Past Tense,,"Östen Dahl, Viveka Velupillai","Östen Dahl, Viveka Velupillai. 2013. The Past Tense. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/66)",the-past-tense,66,5,Klein-1994 Dahl-1985 Bybee-et-al-1994 Payne-and-Payne-1990,dahlo velupillaiv,
67,The Future Tense,,"Östen Dahl, Viveka Velupillai","Östen Dahl, Viveka Velupillai. 2013. The Future Tense. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/67)",the-future-tense,67,5,Bybee-et-al-1994 Lyons-1968 Ultan-1978,dahlo velupillaiv,
68,The Perfect,,"Östen Dahl, Viveka Velupillai","Östen Dahl, Viveka Velupillai. 2013. The Perfect. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/68)",the-perfect,68,5,Bybee-et-al-1994 Lindstedt-2000 Ebert-2001,dahlo velupillaiv,
69,Position of Tense-Aspect Affixes,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Position of Tense-Aspect Affixes. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/69)",position-of-tense-aspect-affixes,69,5,Reh-1996 Owens-1985 Noonan-1992 Macaulay-1996 Dimmendaal-1983a Langdon-1970 Reh-1985 Alexander-1988 Rau-1992 Alekseev-1994b Hamel-1994 Sneddon-1996 Donohue-1999a Werner-1997a Lin-1993 Benjamin-1976 Voorhoeve-1971 Kuipers-1974,dryerms,
70,The Morphological Imperative,,"Johan van der Auwera, Ludo Lejeune (Umarani Pappuswamy, Valentin Goussev)","Johan van der Auwera, Ludo Lejeune (Umarani Pappuswamy, Valentin Goussev). 2013. The Morphological Imperative. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/70)",the-morphological-imperative,70,5,van-Driem-1987 Meeuwis-1998 Holst-2001 Egli-1990 Heath-1984 Vogt-1971 Taylor-1985 Nichols-1994b Guerin-1998 Xrakovskij-2001,vanderauweraj lejeunel,pappuswamyu goussevv
71,The Prohibitive,,"Johan van der Auwera, Ludo Lejeune (Valentin Goussev)","Johan van der Auwera, Ludo Lejeune (Valentin Goussev). 2013. The Prohibitive. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/71)",the-prohibitive,71,5,Thompson-1965 Poulos-and-Bosch-1997 Boyeldieu-1995 Volodin-2001 Koehn-and-Koehn-1986 Mous-1992 Kamba-Muzenga-1981 Aikhenvald-1999 Kahrel-and-van-den-Berg-1994 Kahrel-1996 Hovdhaugen-and-Mosel-1999 Xrakovskij-2001 Zanuttini-1997,vanderauweraj lejeunel,goussevv
72,Imperative-Hortative Systems,,"Johan van der Auwera, Nina Dobrushina, Valentin Goussev","Johan van der Auwera, Nina Dobrushina, Valentin Goussev. 2013. Imperative-Hortative Systems. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/72)",imperative-hortative-systems,72,5,Sanchez-and-Castro-1977 Heath-1984 Quirk-et-al-1985 Creissels-2000 Kenesei-et-al-1998 Diagana-1995 Meeuwis-1998 Sebeok-and-Ingemann-1961 Ammann-and-van-der-Auwera-2004 Xrakovskij-2001 Palmer-1986 Hengeveld-2004,vanderauweraj dobrushinan goussevv,
73,The Optative,,"Nina Dobrushina, Johan van der Auwera, Valentin Goussev","Nina Dobrushina, Johan van der Auwera, Valentin Goussev. 2013. The Optative. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/73)",the-optative,73,5,Dobrusina-2001 Bybee-et-al-1994 Chung-and-Timberlake-1985 Sadock-and-Zwicky-1985 Rice-1989 Tenisev-et-al-1997 Fortescue-1984 Hardman-de-Bautista-1974 Gregores-and-Suarez-1967 Gordon-1986 Koshal-1979 Giridhar-1994 Gadzhiaxmedov-2000 Juldasev-1981 Kozintseva-2001 Wilson-1970 Loogman-1965 Palmer-1986 Kibrik-et-al-1977 Plungian-2000 Bodding-1952 Smeets-1989 Rupp-1989 Haspelmath-1993 Hewitt-1979 Korolev-1965,dobrushinan vanderauweraj goussevv,
74,Situational Possibility,,"Johan van der Auwera, Andreas Ammann","Johan van der Auwera, Andreas Ammann. 2013. Situational Possibility. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/74)",situational-possibility,74,5,Terrill-2003 Murane-1974 Bhaskararao-1998 Bowden-2001 Dunn-1999 Derbyshire-1993 Roberts-1987 Sohn-1994 Palmer-1979 Coates-1983 Traugott-1989 Bybee-et-al-1994 van-der-Auwera-and-Plungian-1998 Heine-1993 Ross-1969,vanderauweraj ammanna,
75,Epistemic Possibility,,"Johan van der Auwera, Andreas Ammann","Johan van der Auwera, Andreas Ammann. 2013. Epistemic Possibility. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/75)",epistemic-possibility,75,5,Owens-1985 Sammallahti-1998a Bartens-1989 Kimball-1991 Rood-and-Taylor-1996 Harms-1994 Nedjalkov-1997 McGregor-1990 Merlan-1994 Craig-1977 Day-1973 Schaub-1985 Fife-1990 King-1993a Jones-and-Thomas-1977 Bybee-et-al-1994 van-der-Auwera-and-Plungian-1998,vanderauweraj ammanna,
76,Overlap between Situational and Epistemic Modal Marking,,"Johan van der Auwera, Andreas Ammann","Johan van der Auwera, Andreas Ammann. 2013. Overlap between Situational and Epistemic Modal Marking. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/76)",overlap-between-situational-and-epistemi,76,5,Fortescue-1984 Joseph-and-Philippaki-Warburton-1989 Palmer-1986 O-Siadhail-1989 Schachter-and-Otanes-1983 Refsing-1986 Tamura-2000 Kenesei-et-al-1998 Nedjalkov-1997 Robins-1958 Coates-1983 Perkins-1983 Palmer-2001 Bybee-et-al-1994 van-der-Auwera-and-Plungian-1998,vanderauweraj ammanna,
77,Semantic Distinctions of Evidentiality,,Ferdinand de Haan,"Ferdinand de Haan. 2013. Semantic Distinctions of Evidentiality. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/77)",semantic-distinctions-of-evidentiality,77,5,Loeweke-and-May-1980 Kimball-1991 Barnes-1984 Franklin-1971 Street-1963 Haspelmath-1993 de-Haan-1999 Boeder-2000 Leinonen-2000 Swanton-1911b Frank-1990 Aksu-Koc-and-Slobin-1986 Jones-and-Jones-1991 Holisky-and-Gagua-1994 Botne-1995 Palmer-1986 Floyd-1999 de-Haan-2001 Haarmann-1970 Johanson-and-Utas-2000 Aikhenvald-and-Dixon-1998,dehaanf,
78,Coding of Evidentiality,,Ferdinand de Haan,"Ferdinand de Haan. 2013. Coding of Evidentiality. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/78)",coding-of-evidentiality,78,5,Sridhar-1990 Haspelmath-1993 Sapir-1922b Aksu-Koc-and-Slobin-1986 Boeder-2000 van-Driem-1991 Koehn-and-Koehn-1986 Botne-1995 de-Haan-2001 McGregor-1990 Merlan-1982 Austin-1981 Johanson-2000 Haarmann-1970 Aikhenvald-and-Dixon-1998 Johanson-and-Utas-2000,dehaanf,
79,Suppletion According to Tense and Aspect,,Ljuba N. Veselinova,"Ljuba N. Veselinova. 2013. Suppletion According to Tense and Aspect. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/79)",suppletion-according-to-tense-and-aspect,79,5,Dressler-1985 Melcuk-1994 Rudes-1980 Anderson-1985 Carstairs-McCarthy-1992 Carstairs-McCarthy-1994 Mithun-1988b Corbett-2000 Bybee-1985 Markey-1985 Deshpande-1992 Aski-1995 Fertig-1998 Veselinova-2003 Bruce-1984 Macaulay-1996 Haspelmath-1993 Mitchell-1962,veselinovaln,
80,Verbal Number and Suppletion,,Ljuba N. Veselinova,"Ljuba N. Veselinova. 2013. Verbal Number and Suppletion. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/80)",verbal-number-and-suppletion,80,5,Frajzyngier-1993 Corbett-2000 Tamura-1988 Mithun-1988b Melcuk-1994 Valenzuela-1997 Reh-1985 Young-and-Morgan-1987 Durie-1986 Rice-1989 Gil-1993 Veselinova-2003,veselinovaln,
81,"Order of Subject, Object and Verb",,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Subject, Object and Verb. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/81)",order-of-subject-object-and-verb,81,6,Kuno-1973 Li-and-Thompson-1981 Dillon-and-O-Croinin-1961 Brown-2001 Derbyshire-1979 Weir-1994 Schachter-1976 Heath-1984 Cowell-1964 Nebel-1948 Andrade-1933 Schuh-1998 Greenberg-1963 Ingram-2001 Jones-1998a Dryer-1997 Dryer-1992 Dryer-1991,dryerms,
82,Order of Subject and Verb,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Subject and Verb. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/82)",order-of-subject-and-verb,82,6,Kornfilt-1997 Williams-1980b Dixon-1988 van-den-Berg-1989b Stairs-and-Hollenbach-1981 Edmonson-1988 Watters-1988 Sischo-1977 Tryon-1968 Chapman-and-Derbyshire-1991 Andersen-1988 Merlan-1982 Rumsey-1982 Dryer-1989 Macalister-1914 Engel-and-Longacre-1963 Pet-1987 Harrison-and-Albert-1976 Chung-and-Chung-1996 Tomlin-1986 Givon-1983,dryerms,
83,Order of Object and Verb,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Object and Verb. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/83)",order-of-object-and-verb,83,6,Underhill-1976 Holes-1990 Cowell-1964 Abbott-1991 Hoijer-1972 Keen-1983 Dixon-1988 Hercus-1982 Heath-1978 Childs-1995 Crazzolara-1933 Nebel-1948 Tucker-and-Bryan-1966 Kilpatrick-1981 Buddruss-1967 Whiteley-1958 Greenberg-1963 Hawkins-1983 Dryer-1992 Dryer-1988a,dryerms,
84,"Order of Object, Oblique, and Verb",,Matthew S. Dryer (Orin D. Gensler),"Matthew S. Dryer (Orin D. Gensler). 2013. Order of Object, Oblique, and Verb. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/84)",order-of-object-oblique-and-verb,84,6,Li-and-Thompson-1981 Rice-1989 Campbell-and-Campbell-1987 Wivell-1981 O-Siadhail-1989 Bromley-1981 Dixon-1977a Frantz-1991 Curnow-1997 Wilson-1974 Tomlin-1986 Gensler-1994 Gensler-1997 Carlson-1994 Heath-1999a Dugast-1971 Innes-1966 Blackings-and-Fabb-2003,dryerms,genslerod
85,Order of Adposition and Noun Phrase,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Adposition and Noun Phrase. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/85)",order-of-adposition-and-noun-phrase,85,6,Dixon-1988 Haspelmath-1993 Merlan-1983 Abdel-Hafiz-1988 Linguistics-langwa-1993 Dayley-1989b Heath-1999b Frachtenberg-1922b Rennison-1997 Dixon-1977a Merlan-1994 Derbyshire-1985 Craig-1977 Day-1973 Li-and-Thompson-1981 Dol-1999,dryerms,
86,Order of Genitive and Noun,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Genitive and Noun. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/86)",order-of-genitive-and-noun,86,6,Sulkala-and-Karjalainen-1992 Reh-1985 Rosenbach-2002 Dol-1999 Rehg-1981 Li-and-Thompson-1981 MacDonald-1990 Dunn-1999 Hamel-1994 Macaulay-1996,dryerms,
87,Order of Adjective and Noun,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Adjective and Noun. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/87)",order-of-adjective-and-noun,87,6,Prasad-1991 Abraham-1985 Benjamin-1976 Beller-and-Beller-1977 Schachter-and-Otanes-1972 Kahler-1963 Rupp-1989 Couro-and-Langdon-1975 Dryer-1988a Dryer-1992 Greenberg-1963 Hawkins-1983,dryerms,
88,Order of Demonstrative and Noun,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Demonstrative and Noun. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/88)",order-of-demonstrative-and-noun,88,6,Scott-1978 Trenga-1947 Paris-1989 Hoskison-1983 Tayeng-1976 Hamilton-1900 Hay-Neave-1953 Last-and-Lucassen-1998 Reichle-1981 Holes-1990 Raz-1983 Wiering-1994 Merlan-1982 Ebermann-1986a Ikoro-1996 Kutsch-Lojenga-1994,dryerms,
89,Order of Numeral and Noun,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Numeral and Noun. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/89)",order-of-numeral-and-noun,89,6,Najlis-1973 Ding-1998 Dickens-1992 Maring-1967 Brown-2005 Gary-and-Gamal-Eldin-1982 Harrell-1962 Erwin-1963 MacDonald-1990 Panfilov-1962 Nougayrol-1990 Lambdin-1983 Faraclas-1984 Williams-1980b Everett-and-Kern-1997 Gabas-1999 Sun-and-Lu-1986 Babby-1987 Kossmann-2000,dryerms,
90,Order of Relative Clause and Noun,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Relative Clause and Noun. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/90)",order-of-relative-clause-and-noun,90,6,Dol-1999 Bruce-1984 Couro-and-Langdon-1975 Bird-and-Kante-1976 Austin-1981 de-Vries-1993 Breeze-1990 Mirikitani-1972 Walsh-1976 Bhatia-1993 Donaldson-1980 Davies-1981b Maslova-2003a Curnow-1997,dryerms,
91,Order of Degree Word and Adjective,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Degree Word and Adjective. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/91)",order-of-degree-word-and-adjective,91,6,Ding-1998 Wivell-1981 Childs-1995 Everett-and-Kern-1997 Sneddon-1996 Huttar-and-Huttar-1994 Tuggy-1979 Robbins-1968 Gordon-1986,dryerms,
92,Position of Polar Question Particles,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Position of Polar Question Particles. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/92)",position-of-polar-question-particles,92,6,Traill-1994 Harris-1988 Reesink-1999 Unseth-1989 Boelaars-1950 Robins-1958 Norris-1986 Harriehausen-1990 Seiter-1980 Heath-1999a Kahombo-1992 Kutsch-Lojenga-1994 Berry-and-Berry-1999 Cole-1982 Cowell-1964 Davies-1981b Derbyshire-1979,dryerms,
93,Position of Interrogative Phrases in Content Questions,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Position of Interrogative Phrases in Content Questions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/93)",position-of-interrogative-phrases-in-con,93,6,Noonan-1992 Keenan-1976 Saltarelli-et-al-1988 Owens-1985 Randal-1998 Hyman-1981b Woollams-1996 Moore-1984 Merlan-1982 Curnow-1997 Heath-1999a Heath-1999b Birk-1976 Donohue-1999a Rehg-1981,dryerms,
