ID,Name,Description,Contributor,Citation,wp_slug,Number,Area_ID,Source,Contributor_ID,With_Contributor_ID
10,Vowel Nasalization,,John Hajek,"John Hajek. 2013. Vowel Nasalization. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/10)",vowel-nasalization,10,1,Boas-and-Deloria-1941 Beddor-1993 Ogunbowale-1970 Chafe-1996 Ferguson-1966 Heath-1999b Everett-and-Kern-1997 Facundes-2000 Hajek-1997 Osborn-1966 Jones-and-Jones-1991 Cohn-1993 Harms-1994 Walker-1999 Witucki-1974 Noss-1964 Matisoff-1975 Willms-1972,hajekj,
11,Front Rounded Vowels,,Ian Maddieson,"Ian Maddieson. 2013. Front Rounded Vowels. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/11)",front-rounded-vowels,11,1,Stevens-1972 Vago-1980,maddiesoni,
12,Syllable Structure,,Ian Maddieson,"Ian Maddieson. 2013. Syllable Structure. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/12)",syllable-structure,12,1,,maddiesoni,
13,Tone,,Ian Maddieson,"Ian Maddieson. 2013. Tone. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/13)",tone,13,1,Thelwall-1981 Feev-1998 Grimes-2000,maddiesoni,
14,Fixed Stress Locations,,"Rob Goedemans, Harry van der Hulst","Rob Goedemans, Harry van der Hulst. 2013. Fixed Stress Locations. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/14)",fixed-stress-locations,14,1,Dixon-and-Aikhenvald-2002 Revithiadou-1999 Hayes-1995,goedemansr vanderhulsth,
15,Weight-Sensitive Stress,,"Rob Goedemans, Harry van der Hulst","Rob Goedemans, Harry van der Hulst. 2013. Weight-Sensitive Stress. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/15)",weight-sensitive-stress,15,1,van-der-Hulst-1996,goedemansr vanderhulsth,
16,Weight Factors in Weight-Sensitive Stress Systems,,"Rob Goedemans, Harry van der Hulst","Rob Goedemans, Harry van der Hulst. 2013. Weight Factors in Weight-Sensitive Stress Systems. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/16)",weight-factors-in-weight-sensitive-stres,16,1,Goedemans-1996 Goedemans-1997 Goedemans-1998 Hajek-and-Goedemans-2003 van-Oostendorp-2000 Rosenthal-and-van-der-Hulst-1999 Zec-1988 Kenstowicz-1994,goedemansr vanderhulsth,
17,Rhythm Types,,"Rob Goedemans, Harry van der Hulst","Rob Goedemans, Harry van der Hulst. 2013. Rhythm Types. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/17)",rhythm-types,17,1,,goedemansr vanderhulsth,
18,Absence of Common Consonants,,Ian Maddieson,"Ian Maddieson. 2013. Absence of Common Consonants. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/18)",absence-of-common-consonants,18,1,,maddiesoni,
19,Presence of Uncommon Consonants,,Ian Maddieson,"Ian Maddieson. 2013. Presence of Uncommon Consonants. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/19)",presence-of-uncommon-consonants,19,1,,maddiesoni,
20,Fusion of Selected Inflectional Formatives,,"Balthasar Bickel, Johanna Nichols","Balthasar Bickel, Johanna Nichols. 2013. Fusion of Selected Inflectional Formatives. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/20)",fusion-of-selected-inflectional-formativ,20,2,Plank-1999 Bickel-and-Nichols-2005 Dixon-1988 Childs-1995,bickelb nicholsj,
21,Exponence of Selected Inflectional Formatives,,"Balthasar Bickel, Johanna Nichols","Balthasar Bickel, Johanna Nichols. 2013. Exponence of Selected Inflectional Formatives. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/21)",exponence-of-selected-inflectional-forma,21,2,Plank-1999 Bickel-and-Nichols-2005 Everett-and-Kern-1997 Bossong-1985 Bossong-1998 Nedjalkov-1997 Evans-1995 Crazzolara-1960 Foley-1986 Noonan-1992,bickelb nicholsj,
22,Inflectional Synthesis of the Verb,,"Balthasar Bickel, Johanna Nichols","Balthasar Bickel, Johanna Nichols. 2013. Inflectional Synthesis of the Verb. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/22)",inflectional-synthesis-of-the-verb,22,2,Bickel-2003 Bickel-and-Nichols-2005 Harriehausen-1990 Li-and-Thompson-1981 Franklin-1971 Bickel-and-Nichols-2003,bickelb nicholsj,
23,Locus of Marking in the Clause,,"Johanna Nichols, Balthasar Bickel","Johanna Nichols, Balthasar Bickel. 2013. Locus of Marking in the Clause. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/23)",locus-of-marking-in-the-clause,23,2,Dayley-1985 Crowley-1983 Tosco-1991 Payne-1990a Bossong-1985 Aissen-2003 Nichols-1986 Nichols-1992 Cysouw-2002 Bickel-and-Nichols-2002,nicholsj bickelb,
24,Locus of Marking in Possessive Noun Phrases,,"Johanna Nichols, Balthasar Bickel","Johanna Nichols, Balthasar Bickel. 2013. Locus of Marking in Possessive Noun Phrases. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/24)",locus-of-marking-in-possessive-noun-phra,24,2,Miller-1965 Dixon-1988 Awobuluyi-1978 Broadbent-1964 Osborne-1974 Voorhoeve-1965b Roberts-1987 Topping-1980a Crowell-1979 Nichols-1986 Nichols-1992 Cysouw-2002 Bickel-and-Nichols-2002,nicholsj bickelb,
25,Locus of Marking: Whole-language Typology,,"Johanna Nichols, Balthasar Bickel","Johanna Nichols, Balthasar Bickel. 2013. Locus of Marking: Whole-language Typology. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/25)",locus-of-marking-whole-language-typology,25,2,Dayley-1985 Merlan-1982 Pellizzaro-1969 Gnerre-1999 Everett-1986 Nichols-1986 Nichols-1992 Cysouw-2002,nicholsj bickelb,
26,Prefixing vs. Suffixing in Inflectional Morphology,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Prefixing vs. Suffixing in Inflectional Morphology. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/26)",prefixing-vs-suffixing-in-inflectional-m,26,2,Bolton-1990 Welmers-1976 Nebel-1948 Fortescue-1984 Reed-et-al-1977 Meinhof-1930 Reinisch-1893 Harrison-and-Albert-1976 Charachidze-1989 Groves-et-al-1985 Bonvillain-1973 Scorza-1985 Kahombo-1992 Samarin-1967b Werner-1997a Benjamin-1976 Cutler-et-al-1986 Greenberg-1957 Hall-1988 Bybee-et-al-1990,dryerms,
27,Reduplication,,Carl Rubino,"Carl Rubino. 2013. Reduplication. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/27)",reduplication,27,2,Aoki-1963 Rubino-2001b Moravcsik-1978 Kuipers-1967 van-den-Berg-1995 Kimball-1988 Chapman-and-Derbyshire-1991 Donaldson-1980 Harrison-1973 Merlan-1982 Harrison-2000 Brown-2001 Bruce-1984 Hardy-and-Montler-1988 Kroeber-and-Grace-1960 Walker-1976 Dobrin-2001 Rubino-2000 Dunn-1999 Newman-1944 Gowda-1975 Evans-1995 Beaumont-1979 Hagman-1977,rubinoc,
28,Case Syncretism,,"Matthew Baerman, Dunstan Brown","Matthew Baerman, Dunstan Brown. 2013. Case Syncretism. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/28)",case-syncretism,28,2,Comrie-1991 Reh-1985 Jacobson-1995 Blake-1994 Goddard-1982 Robins-1958 Saltarelli-et-al-1988 Nordlinger-1998 Fromm-1982 Klimov-1970 Nichols-1994b Jakobson-1984 Minassian-1980 Zirkov-1955,baermanm brownd,
29,Syncretism in Verbal Person/Number Marking,,"Matthew Baerman, Dunstan Brown","Matthew Baerman, Dunstan Brown. 2013. Syncretism in Verbal Person/Number Marking. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/29)",syncretism-in-verbal-person-number-marki,29,2,Deza-Galindo-1992 Bender-1996 Mous-1993 Davies-1981b Mitchell-1962 Sapir-1965 Frank-1990 Macaulay-1992a Murane-1974,baermanm brownd,
